CustomerID,AcquisitionSource,AcquisitionCost,AttributionType
CU001628,Referral,333.13,Multi-Touch
CU001629,Referral,1227.06,First Touch
CU001630,Organic Search,4453.69,Multi-Touch
CU001631,LinkedIn Ads,4284.85,Last Touch
CU001632,Referral,1433.96,Last Touch
CU001633,Outbound,4809.02,Multi-Touch
CU001634,Google Ads,473.78,First Touch
CU001635,Referral,620.79,Multi-Touch
CU001636,LinkedIn Ads,217.99,Multi-Touch
CU001637,Event,1253.67,Multi-Touch
CU001638,Partner,1139.39,Multi-Touch
CU001639,Organic Search,419.35,First Touch
CU001640,LinkedIn Ads,644.12,First Touch
CU001641,Organic Search,185.58,Last Touch
CU001642,Event,4392.12,Last Touch
CU001643,Outbound,4486.74,Last Touch
CU001644,Partner,337.82,First Touch
CU001645,Outbound,207.01,Multi-Touch
CU001646,Event,4344.11,First Touch
CU001647,LinkedIn Ads,1212.96,Multi-Touch
CU001648,Referral,1361.44,Multi-Touch
CU001649,Google Ads,1011.44,Last Touch
CU001650,LinkedIn Ads,1128.47,Last Touch
CU001651,Referral,192.15,First Touch
CU001652,LinkedIn Ads,1136.8,Last Touch
CU001653,Referral,388.02,First Touch
CU001654,Google Ads,24.17,Last Touch
CU001655,Partner,1079.54,Multi-Touch
CU001656,Organic Search,645.24,Last Touch
CU001657,LinkedIn Ads,4661.4,Multi-Touch
CU001658,Outbound,4482.99,First Touch
CU001659,Event,4810.63,Multi-Touch
CU001660,Referral,1573.06,Last Touch
CU001661,Organic Search,310.33,First Touch
CU001662,Organic Search,445.82,Last Touch
CU001663,LinkedIn Ads,4488.39,Last Touch
CU001664,Referral,459.41,Last Touch
CU001665,Organic Search,1357.1,Multi-Touch
CU001666,Outbound,1507.12,First Touch
CU001667,Event,4699.86,First Touch
CU001668,Event,1040.38,First Touch
CU001669,Partner,318.0,Last Touch
CU001670,Event,452.76,Multi-Touch
CU001671,Event,1300.16,First Touch
CU001672,Google Ads,450.77,Multi-Touch
CU001673,Partner,1113.06,Last Touch
CU001674,Google Ads,4587.17,Multi-Touch
CU001675,Event,1114.43,First Touch
CU001676,Partner,305.25,First Touch
CU001677,Referral,624.63,Last Touch
CU001678,Organic Search,4307.37,Last Touch
CU001679,Event,1218.25,Last Touch
CU001680,Organic Search,4326.7,Multi-Touch
CU001681,Referral,4449.98,Last Touch
CU001682,Referral,4185.45,First Touch
CU001683,Partner,4748.81,Multi-Touch
CU001684,Partner,4578.22,Multi-Touch
CU001685,Event,4772.18,Multi-Touch
CU001686,Partner,525.91,Last Touch
CU001687,Referral,4207.96,Last Touch
CU001688,Organic Search,4513.64,Last Touch
CU001689,Google Ads,705.05,Last Touch
CU001690,Event,1410.53,First Touch
CU001691,Google Ads,513.55,Multi-Touch
CU001692,Referral,64.27,Multi-Touch
CU001693,Event,4157.25,First Touch
CU001694,Partner,4434.04,Multi-Touch
CU001695,LinkedIn Ads,4607.25,Multi-Touch
CU001696,LinkedIn Ads,406.01,First Touch
CU001697,Partner,116.82,Last Touch
CU001698,Event,82.06,Last Touch
CU001699,Google Ads,1390.64,Last Touch
CU001700,LinkedIn Ads,4662.99,Multi-Touch
CU001701,Event,1180.5,Last Touch
CU001702,Outbound,4315.17,Last Touch
CU001703,Outbound,697.93,Last Touch
CU001704,Google Ads,4799.56,Last Touch
CU001705,Partner,476.52,Last Touch
CU001706,Partner,1034.31,Last Touch
CU001707,Outbound,4555.3,First Touch
CU001708,Referral,949.78,Multi-Touch
CU001709,Referral,635.68,Last Touch
CU001710,LinkedIn Ads,1450.21,Last Touch
CU001711,Event,977.02,Last Touch
CU001712,LinkedIn Ads,4419.07,Last Touch
CU001713,Organic Search,1184.41,Multi-Touch
CU001714,LinkedIn Ads,454.3,Last Touch
CU001715,Partner,4315.15,Multi-Touch
CU001716,Partner,1160.67,Last Touch
CU001717,Referral,4709.37,Multi-Touch
CU001718,Event,801.6,Multi-Touch
CU001719,Outbound,1325.43,Last Touch
CU001720,Organic Search,1151.05,Last Touch
CU001721,Outbound,22.0,First Touch
CU001722,Organic Search,1191.53,First Touch
CU001723,Referral,1025.1,Last Touch
CU001724,LinkedIn Ads,1150.76,Last Touch
CU001725,Outbound,135.77,Last Touch
CU001726,Outbound,1337.17,Multi-Touch
CU001727,Event,1234.84,First Touch
CU001728,LinkedIn Ads,1340.32,Last Touch
CU001729,Google Ads,1051.6,Last Touch
CU001730,Organic Search,1036.32,Last Touch
CU001731,Partner,1110.64,First Touch
CU001732,LinkedIn Ads,4322.55,Multi-Touch
CU001733,Google Ads,4446.84,Multi-Touch
CU001734,Partner,4661.09,Last Touch
CU001735,Organic Search,4413.14,Multi-Touch
CU001736,Organic Search,4306.32,Multi-Touch
CU001737,Event,4005.44,Last Touch
CU001738,Google Ads,4640.77,Multi-Touch
CU001739,Referral,1207.25,Last Touch
CU001740,Partner,1087.23,Last Touch
CU001741,Organic Search,502.18,Last Touch
CU001742,LinkedIn Ads,934.41,First Touch
CU001743,Organic Search,127.87,Multi-Touch
CU001744,LinkedIn Ads,241.25,Multi-Touch
CU001745,Event,246.73,Last Touch
CU001746,Referral,267.71,First Touch
CU001747,Referral,1058.29,Multi-Touch
CU001748,LinkedIn Ads,1456.05,First Touch
CU001749,Partner,1477.84,Last Touch
CU001750,Referral,1518.45,Last Touch
CU001751,Google Ads,4917.55,Multi-Touch
CU001752,Google Ads,4776.15,Last Touch
CU001753,Google Ads,931.35,First Touch
CU001754,Event,4466.7,Multi-Touch
CU001755,Google Ads,1079.16,Multi-Touch
CU001756,Partner,144.4,First Touch
CU001757,Referral,4250.42,Multi-Touch
CU001758,Partner,468.13,Multi-Touch
CU001759,Google Ads,4933.08,First Touch
CU001760,Event,471.15,Multi-Touch
CU001761,Organic Search,1472.79,Last Touch
CU001762,Google Ads,1437.51,Multi-Touch
CU001763,Google Ads,4802.73,First Touch
CU001764,Organic Search,262.1,Multi-Touch
CU001765,LinkedIn Ads,957.9,First Touch
CU001766,Outbound,357.0,Last Touch
CU001767,LinkedIn Ads,1296.8,First Touch
CU001768,Outbound,1302.28,Multi-Touch
CU001769,Referral,1525.7,First Touch
CU001770,Referral,536.82,Last Touch
CU001771,Event,4210.91,Multi-Touch
CU001772,Event,4466.91,Last Touch
CU001773,LinkedIn Ads,169.72,Multi-Touch
CU001774,Event,639.39,First Touch
CU001775,Google Ads,1176.57,Last Touch
CU001776,Google Ads,457.62,First Touch
CU001777,Partner,1286.39,First Touch
CU001778,Partner,303.44,Last Touch
CU001779,Referral,302.45,First Touch
CU001780,LinkedIn Ads,579.37,Multi-Touch
CU001781,Referral,4459.99,First Touch
CU001782,Organic Search,4299.37,Last Touch
CU001783,Partner,1279.95,Last Touch
CU001784,Partner,984.15,Last Touch
CU001785,Organic Search,123.35,Multi-Touch
CU001786,Organic Search,1152.67,Last Touch
CU001787,Organic Search,4600.06,Multi-Touch
CU001788,Partner,4633.67,First Touch
CU001789,LinkedIn Ads,4643.17,Multi-Touch
CU001790,Google Ads,1390.34,First Touch
CU001791,Outbound,4606.74,Multi-Touch
CU001792,Organic Search,4869.69,First Touch
CU001793,Referral,4313.11,Last Touch
CU001794,Event,290.69,Last Touch
CU001795,Outbound,1131.6,Multi-Touch
CU001796,Google Ads,1082.63,Multi-Touch
CU001797,Google Ads,1094.09,First Touch
CU001798,Google Ads,4572.69,First Touch
CU001799,Partner,325.23,Multi-Touch
CU001800,Event,600.68,First Touch
CU001801,Outbound,524.13,Last Touch
CU001802,Outbound,1227.79,Multi-Touch
CU001803,Referral,1447.15,First Touch
CU001804,Google Ads,4518.97,Last Touch
CU001805,Google Ads,79.94,Multi-Touch
CU001806,Partner,407.04,Multi-Touch
CU001807,Event,4468.82,Last Touch
CU001808,Outbound,496.58,First Touch
CU001809,Partner,4478.09,Multi-Touch
CU001810,Partner,349.24,Multi-Touch
CU001811,LinkedIn Ads,582.19,First Touch
CU001812,Google Ads,1255.93,Multi-Touch
CU001813,Google Ads,4282.17,Multi-Touch
CU001814,LinkedIn Ads,1640.77,First Touch
CU001815,Partner,1070.64,First Touch
CU001816,Partner,4527.07,First Touch
CU001817,Event,352.62,Last Touch
CU001818,Organic Search,941.8,Multi-Touch
CU001819,Outbound,4244.41,Multi-Touch
CU001820,Referral,4215.77,First Touch
CU001821,Outbound,4553.53,Multi-Touch
CU001822,Partner,460.95,Multi-Touch
CU001823,Organic Search,1431.42,Last Touch
CU001824,Organic Search,397.36,Multi-Touch
CU001825,Organic Search,1208.96,Last Touch
CU001826,Google Ads,4566.22,Last Touch
CU001827,Outbound,1079.1,First Touch
CU001828,Referral,527.03,Multi-Touch
CU001829,Outbound,4940.77,Last Touch
CU001830,Outbound,103.38,First Touch
CU001831,Outbound,4594.77,First Touch
CU001832,Organic Search,362.08,Multi-Touch
CU001833,Outbound,4055.34,First Touch
CU001834,Referral,353.92,Multi-Touch
CU001835,Outbound,4452.69,Multi-Touch
CU001836,Referral,168.05,First Touch
CU001837,Outbound,4650.13,Last Touch
CU001838,LinkedIn Ads,4052.97,Last Touch
CU001839,Outbound,4389.79,First Touch
CU001840,Organic Search,404.33,First Touch
CU001841,Organic Search,4586.95,Multi-Touch
CU001842,Outbound,4508.58,First Touch
CU001843,Referral,268.01,First Touch
CU001844,Referral,1193.67,Last Touch
CU001845,Referral,4262.22,Last Touch
CU001846,Event,4429.26,Multi-Touch
CU001847,Event,533.83,Multi-Touch
CU001848,Event,1175.92,Last Touch
CU001849,Outbound,4694.79,First Touch
CU001850,Partner,8.08,Last Touch
CU001851,Referral,4808.31,Last Touch
CU001852,LinkedIn Ads,663.45,Last Touch
CU001853,Partner,559.89,First Touch
CU001854,Partner,5041.49,First Touch
CU001855,LinkedIn Ads,4295.39,Last Touch
CU001856,Outbound,733.22,Last Touch
CU001857,Outbound,1189.54,First Touch
CU001858,Google Ads,204.62,Last Touch
CU001859,LinkedIn Ads,4795.1,Multi-Touch
CU001860,Partner,187.58,First Touch
CU001861,Organic Search,1231.81,First Touch
CU001862,Partner,550.9,First Touch
CU001863,Event,1464.69,Multi-Touch
CU001864,LinkedIn Ads,1251.81,Last Touch
CU001865,Partner,1430.01,First Touch
CU001866,Event,355.41,Last Touch
CU001867,LinkedIn Ads,353.0,Multi-Touch
CU001868,Partner,1217.23,Last Touch
CU001869,Outbound,333.58,First Touch
CU001870,Referral,1523.22,Multi-Touch
CU001871,Partner,163.32,Last Touch
CU001872,Partner,327.7,Last Touch
CU001873,Organic Search,693.46,Last Touch
CU001874,Organic Search,1430.32,Multi-Touch
CU001875,Event,234.65,First Touch
CU001876,Outbound,4234.57,First Touch
CU001877,Event,4263.95,Last Touch
CU001878,Referral,599.96,First Touch
CU001879,Referral,1365.64,Multi-Touch
CU001880,LinkedIn Ads,463.41,Multi-Touch
CU001881,Google Ads,4953.98,First Touch
CU001882,Partner,478.42,Last Touch
CU001883,Outbound,323.95,First Touch
CU001884,Partner,350.3,First Touch
CU001885,Outbound,796.09,First Touch
CU001886,Referral,4196.55,Multi-Touch
CU001887,Event,1236.72,First Touch
CU001888,Outbound,4936.71,First Touch
CU001889,Organic Search,917.21,Multi-Touch
CU001890,Outbound,442.22,Multi-Touch
CU001891,Organic Search,1217.63,Last Touch
CU001892,Google Ads,467.32,Last Touch
CU001893,Partner,4327.82,Multi-Touch
CU001894,Outbound,434.66,Last Touch
CU001895,Event,1237.18,First Touch
CU001896,Partner,4502.67,First Touch
CU001897,Google Ads,239.64,First Touch
CU001898,LinkedIn Ads,131.79,Last Touch
CU001899,Event,254.26,Multi-Touch
CU001900,Outbound,1028.42,Last Touch
CU001901,Outbound,376.71,Last Touch
CU001902,Outbound,25.26,Multi-Touch
CU001903,Referral,930.95,Last Touch
CU001904,Outbound,4266.51,Last Touch
CU001905,Organic Search,1135.73,Multi-Touch
CU001906,Event,15.46,Multi-Touch
CU001907,LinkedIn Ads,4383.99,Multi-Touch
CU001908,Google Ads,1510.98,Multi-Touch
CU001909,LinkedIn Ads,582.4,First Touch
CU001910,Outbound,1302.26,First Touch
CU001911,Partner,190.83,Last Touch
CU001912,LinkedIn Ads,4292.0,First Touch
CU001913,Event,274.52,Last Touch
CU001914,Organic Search,4401.29,Multi-Touch
CU001915,Outbound,4229.43,Last Touch
CU001916,LinkedIn Ads,476.75,First Touch
CU001917,Referral,1176.13,First Touch
CU001918,Google Ads,1283.82,Last Touch
CU001919,Referral,4663.11,First Touch
CU001920,Google Ads,4486.47,Multi-Touch
CU001921,Outbound,4162.29,First Touch
CU001922,LinkedIn Ads,1683.95,Multi-Touch
CU001923,Organic Search,714.37,Last Touch
CU001924,Event,1089.54,Last Touch
CU001925,Event,966.08,Multi-Touch
CU001926,Event,4754.32,Multi-Touch
CU001927,Outbound,4556.79,Multi-Touch
CU001928,Referral,4366.22,Multi-Touch
CU001929,Event,389.78,First Touch
CU001930,Event,26.2,First Touch
CU001931,Google Ads,514.88,Last Touch
CU001932,Outbound,4604.46,First Touch
CU001933,Outbound,4448.22,Multi-Touch
CU001934,Referral,988.38,First Touch
CU001935,LinkedIn Ads,4269.42,First Touch
CU001936,Referral,1459.8,Last Touch
CU001937,LinkedIn Ads,525.77,Multi-Touch
CU001938,Organic Search,1077.88,Multi-Touch
CU001939,Referral,1546.6,Last Touch
CU001940,Outbound,340.84,First Touch
CU001941,Event,1140.63,Last Touch
CU001942,Event,231.95,Multi-Touch
CU001943,Partner,4453.66,Multi-Touch
CU001944,Google Ads,266.95,First Touch
CU001945,LinkedIn Ads,1472.47,Last Touch
CU001946,LinkedIn Ads,1291.62,Last Touch
CU001947,Outbound,4464.58,Last Touch
CU001948,Referral,279.86,First Touch
CU001949,Event,1272.63,Last Touch
CU001950,Organic Search,1145.4,Last Touch
CU001951,Google Ads,490.05,Multi-Touch
CU001952,Google Ads,4701.28,Multi-Touch
CU001953,LinkedIn Ads,4432.28,Multi-Touch
CU001954,Referral,1207.79,Multi-Touch
CU001955,Event,692.36,Last Touch
CU001956,Referral,309.14,Multi-Touch
CU001957,Partner,1051.18,Multi-Touch
CU001958,Organic Search,1326.37,Multi-Touch
CU001959,Event,53.0,Last Touch
CU001960,Partner,1268.13,Last Touch
CU001961,Organic Search,1528.9,First Touch
CU001962,Organic Search,1300.1,Last Touch
CU001963,Partner,4345.32,First Touch
CU001964,LinkedIn Ads,461.21,Last Touch
CU001965,Event,4170.45,Multi-Touch
CU001966,LinkedIn Ads,963.27,Last Touch
CU001967,LinkedIn Ads,467.01,First Touch
CU001968,Organic Search,1324.4,Multi-Touch
CU001969,Partner,4434.98,Last Touch
CU001970,Outbound,4712.96,First Touch
CU001971,Referral,1178.21,Multi-Touch
CU001972,Organic Search,4358.06,First Touch
CU001973,Referral,4457.93,Multi-Touch
CU001974,Outbound,403.02,Multi-Touch
CU001975,Partner,1115.03,Last Touch
CU001976,Organic Search,461.71,Last Touch
CU001977,Referral,4728.07,Multi-Touch
CU001978,Referral,512.83,Multi-Touch
CU001979,Outbound,1134.1,Last Touch
CU001980,Partner,4522.49,Multi-Touch
CU001981,LinkedIn Ads,511.28,Multi-Touch
CU001982,Partner,421.36,First Touch
CU001983,Event,1202.62,Multi-Touch
CU001984,LinkedIn Ads,1378.4,First Touch
CU001985,LinkedIn Ads,1166.68,Multi-Touch
CU001986,Outbound,4524.77,First Touch
CU001987,Event,1109.42,Multi-Touch
CU001988,Organic Search,4083.0,Multi-Touch
CU001989,LinkedIn Ads,809.2,Multi-Touch
CU001990,Referral,1275.29,Multi-Touch
CU001991,Partner,292.47,Multi-Touch
CU001992,Organic Search,477.97,Multi-Touch
CU001993,Google Ads,545.48,Multi-Touch
CU001994,Partner,351.97,Multi-Touch
CU001995,Event,4301.76,Last Touch
CU001996,Referral,4429.0,First Touch
CU001997,Partner,1555.65,Multi-Touch
CU001998,Partner,1185.13,Last Touch
CU001999,Partner,15.93,Multi-Touch
CU002000,Organic Search,1047.01,Multi-Touch
CU002001,Organic Search,435.94,First Touch
CU002002,Referral,1.67,First Touch
CU002003,Google Ads,1204.44,Last Touch
CU002004,Google Ads,1009.91,Multi-Touch
CU002005,Organic Search,4460.59,Last Touch
CU002006,Organic Search,1484.62,Last Touch
CU002007,Partner,4149.43,Multi-Touch
CU002008,Referral,1083.94,First Touch
CU002009,Event,992.06,First Touch
CU002010,Google Ads,343.6,Last Touch
CU002011,Partner,1195.1,Last Touch
CU002012,Google Ads,4218.61,Last Touch
CU002013,Referral,95.29,First Touch
CU002014,Google Ads,450.83,First Touch
CU002015,LinkedIn Ads,289.59,Multi-Touch
CU002016,Partner,4007.51,First Touch
CU002017,Event,4327.14,Last Touch
CU002018,Partner,4846.16,First Touch
CU002019,Referral,1026.19,Last Touch
CU002020,Google Ads,4218.79,Last Touch
CU002021,Partner,4362.33,First Touch
CU002022,Partner,371.49,Last Touch
CU002023,Referral,394.86,Last Touch
CU002024,Outbound,56.77,Last Touch
CU002025,LinkedIn Ads,322.17,Last Touch
CU002026,LinkedIn Ads,4442.76,First Touch
CU002027,Outbound,1310.26,Multi-Touch
CU002028,Outbound,632.6,Last Touch
CU002029,Referral,4541.67,First Touch
CU002030,Google Ads,396.18,First Touch
CU002031,Partner,1400.03,Last Touch
CU002032,Event,573.14,Last Touch
CU002033,Event,378.1,Multi-Touch
CU002034,Organic Search,4562.35,First Touch
CU002035,Referral,451.93,Multi-Touch
CU002036,Event,1080.56,First Touch
CU002037,LinkedIn Ads,4377.14,Last Touch
CU002038,LinkedIn Ads,4578.23,Multi-Touch
CU002039,Referral,332.92,Last Touch
CU002040,Event,4585.93,First Touch
CU002041,Outbound,483.05,First Touch
CU002042,Outbound,407.37,Last Touch
CU002043,Outbound,4348.24,First Touch
CU002044,Event,298.23,Last Touch
CU002045,Google Ads,476.32,Last Touch
CU002046,Google Ads,255.5,Multi-Touch
CU002047,Partner,946.74,Multi-Touch
CU002048,Outbound,201.5,Multi-Touch
CU002049,Google Ads,534.97,First Touch
CU002050,Organic Search,1024.94,Last Touch
CU002051,Outbound,4617.04,Last Touch
CU002052,Partner,4546.6,First Touch
CU002053,Google Ads,1075.75,First Touch
CU002054,Google Ads,645.7,First Touch
CU002055,Outbound,418.61,First Touch
CU002056,Outbound,1398.46,Last Touch
CU002057,Organic Search,4692.32,Last Touch
CU002058,Event,1265.31,Multi-Touch
CU002059,Referral,4666.74,Multi-Touch
CU002060,Partner,4123.27,First Touch
CU002061,Event,1043.9,Last Touch
CU002062,Google Ads,1436.35,Last Touch
CU002063,Google Ads,4581.98,Multi-Touch
CU002064,Referral,203.52,Multi-Touch
CU002065,LinkedIn Ads,379.36,First Touch
CU002066,Event,4570.59,First Touch
CU002067,Google Ads,4397.95,First Touch
CU002068,Partner,4351.06,First Touch
CU002069,Organic Search,56.3,First Touch
CU002070,Event,4322.52,Multi-Touch
CU002071,Outbound,4724.46,Multi-Touch
CU002072,Referral,1103.07,Multi-Touch
CU002073,Referral,163.01,Last Touch
CU002074,Partner,1171.72,First Touch
CU002075,Organic Search,4413.71,Multi-Touch
CU002076,Event,1219.07,Last Touch
CU002077,Event,1224.65,First Touch
CU002078,LinkedIn Ads,4471.07,Multi-Touch
CU002079,Organic Search,4612.81,Last Touch
CU002080,Organic Search,551.49,Last Touch
CU002081,Event,1224.56,Last Touch
CU002082,Organic Search,5076.07,Last Touch
CU002083,Google Ads,4472.1,Last Touch
CU002084,Outbound,369.11,First Touch
CU002085,Partner,1465.71,Multi-Touch
CU002086,Google Ads,397.43,Last Touch
CU002087,Organic Search,4664.94,First Touch
CU002088,Organic Search,334.46,Multi-Touch
CU002089,Partner,1408.66,Last Touch
CU002090,Outbound,4241.49,Multi-Touch
CU002091,Partner,1090.32,Last Touch
CU002092,Referral,217.89,Last Touch
CU002093,Google Ads,1404.51,Last Touch
CU002094,Google Ads,1104.35,Multi-Touch
CU002095,LinkedIn Ads,159.94,Last Touch
CU002096,Outbound,4121.77,Multi-Touch
CU002097,Outbound,220.04,Last Touch
CU002098,Referral,453.46,First Touch
CU002099,Partner,523.9,Multi-Touch
CU002100,Event,1499.52,Multi-Touch
CU002101,Organic Search,293.58,Last Touch
CU002102,Organic Search,98.95,First Touch
CU002103,Organic Search,4407.03,Last Touch
CU002104,Referral,5042.61,First Touch
CU002105,Google Ads,1243.67,Multi-Touch
CU002106,Google Ads,4252.39,Multi-Touch
CU002107,Google Ads,4469.32,Multi-Touch
CU002108,Outbound,573.98,First Touch
CU002109,Referral,4864.85,First Touch
CU002110,Outbound,4554.62,Multi-Touch
CU002111,Referral,1086.64,Last Touch
CU002112,Organic Search,4104.02,First Touch
CU002113,LinkedIn Ads,56.75,Last Touch
CU002114,LinkedIn Ads,4393.32,Multi-Touch
CU002115,Event,421.66,Last Touch
CU002116,Partner,4896.12,Last Touch
CU002117,Partner,416.5,First Touch
CU002118,Google Ads,1484.47,First Touch
CU002119,Partner,189.52,Last Touch
CU002120,Organic Search,1189.22,Last Touch
CU002121,Organic Search,4592.66,Multi-Touch
CU002122,Google Ads,1321.38,Multi-Touch
CU002123,Referral,1221.84,Multi-Touch
CU002124,Partner,4453.73,First Touch
CU002125,Referral,624.84,Multi-Touch
CU002126,Google Ads,834.51,Last Touch
CU002127,Event,4557.06,Last Touch
CU002128,Partner,4454.07,Last Touch
CU002129,Event,634.23,Multi-Touch
CU002130,LinkedIn Ads,165.4,Last Touch
CU002131,Outbound,1275.93,First Touch
CU002132,LinkedIn Ads,4402.42,Multi-Touch
CU002133,Referral,1141.34,Multi-Touch
CU002134,Outbound,147.43,Multi-Touch
CU002135,Organic Search,608.56,Last Touch
CU002136,Partner,1113.48,First Touch
CU002137,Google Ads,1298.23,First Touch
CU002138,Event,1151.43,First Touch
CU002139,Organic Search,1406.19,Multi-Touch
CU002140,Referral,4364.71,Multi-Touch
CU002141,Event,4701.8,Multi-Touch
CU002142,Event,33.48,Multi-Touch
CU002143,Referral,4359.32,Multi-Touch
CU002144,Google Ads,594.53,First Touch
CU002145,Google Ads,4634.73,Multi-Touch
CU002146,Partner,349.04,First Touch
CU002147,Referral,4480.45,Last Touch
CU002148,Partner,1268.42,Last Touch
CU002149,Google Ads,1076.95,First Touch
CU002150,Event,4649.23,First Touch
CU002151,Google Ads,359.0,Last Touch
CU002152,Organic Search,4269.74,First Touch
CU002153,Referral,286.48,Multi-Touch
CU002154,Partner,426.97,Last Touch
CU002155,LinkedIn Ads,4365.87,Multi-Touch
CU002156,Event,1635.81,Multi-Touch
CU002157,Google Ads,1240.21,First Touch
CU002158,Outbound,1434.59,Last Touch
CU002159,Organic Search,1428.97,Last Touch
CU002160,Google Ads,1163.97,First Touch
CU002161,Google Ads,1286.69,First Touch
CU002162,LinkedIn Ads,375.67,First Touch
CU002163,Event,249.09,First Touch
CU002164,Event,1009.4,First Touch
CU002165,Referral,1155.44,Multi-Touch
CU002166,Event,714.07,Multi-Touch
CU002167,Referral,1268.06,First Touch
CU002168,Google Ads,361.62,Last Touch
CU002169,Partner,1166.35,Multi-Touch
CU002170,Referral,4510.24,Last Touch
CU002171,Google Ads,1061.53,First Touch
CU002172,Outbound,949.96,Last Touch
CU002173,LinkedIn Ads,4527.48,Multi-Touch
CU002174,Partner,1423.96,Multi-Touch
CU002175,Referral,155.45,Last Touch
CU002176,Partner,974.84,Multi-Touch
CU002177,LinkedIn Ads,279.11,Multi-Touch
CU002178,Event,4534.09,Last Touch
CU002179,LinkedIn Ads,4690.47,Last Touch
CU002180,Outbound,1249.06,First Touch
CU002181,Partner,369.91,First Touch
CU002182,Organic Search,978.23,Multi-Touch
CU002183,LinkedIn Ads,4676.78,First Touch
CU002184,Outbound,450.46,First Touch
CU002185,Event,588.73,Last Touch
CU002186,Organic Search,4342.0,Multi-Touch
CU002187,Event,308.59,First Touch
CU002188,Partner,4305.8,First Touch
CU002189,Organic Search,436.48,Multi-Touch
CU002190,Referral,1443.89,First Touch
CU002191,Referral,12.1,Last Touch
CU002192,Organic Search,4366.24,Multi-Touch
CU002193,LinkedIn Ads,4391.85,First Touch
CU002194,LinkedIn Ads,23.68,Last Touch
CU002195,Partner,19.61,First Touch
CU002196,Referral,4586.84,Multi-Touch
CU002197,LinkedIn Ads,252.24,Multi-Touch
CU002198,Outbound,194.34,Last Touch
CU002199,Partner,1275.15,First Touch
CU002200,Partner,1498.7,First Touch
CU002201,Google Ads,1276.15,Multi-Touch
CU002202,Event,1328.34,Multi-Touch
CU002203,Referral,4152.46,Last Touch
CU002204,Outbound,4618.14,First Touch
CU002205,Event,4511.72,Last Touch
CU002206,Organic Search,225.8,Multi-Touch
CU002207,Outbound,932.42,Multi-Touch
CU002208,Partner,1155.29,First Touch
CU002209,Organic Search,4595.97,First Touch
CU002210,LinkedIn Ads,970.59,First Touch
CU002211,LinkedIn Ads,987.81,Last Touch
CU002212,Partner,363.4,First Touch
CU002213,Event,906.3,Multi-Touch
CU002214,Organic Search,207.41,Last Touch
CU002215,Google Ads,4632.87,Last Touch
CU002216,LinkedIn Ads,708.65,Multi-Touch
CU002217,Partner,878.08,First Touch
CU002218,Referral,105.23,Last Touch
CU002219,Partner,4624.77,Last Touch
CU002220,Event,477.34,Multi-Touch
CU002221,Event,369.05,Last Touch
CU002222,Partner,1313.23,Last Touch
CU002223,Partner,1337.4,Multi-Touch
CU002224,Google Ads,4721.97,First Touch
CU002225,Partner,721.27,First Touch
CU002226,Partner,339.08,Last Touch
CU002227,LinkedIn Ads,1226.31,First Touch
CU002228,Outbound,1216.4,Multi-Touch
CU002229,Google Ads,380.88,Last Touch
CU002230,Organic Search,4587.93,First Touch
CU002231,Google Ads,1272.74,First Touch
CU002232,Event,4070.0,First Touch
CU002233,Partner,1150.67,First Touch
CU002234,Event,1202.5,Multi-Touch
CU002235,Event,775.44,Multi-Touch
CU002236,Partner,4431.96,Multi-Touch
CU002237,LinkedIn Ads,4597.76,Last Touch
CU002238,Referral,538.5,Last Touch
CU002239,Outbound,1033.12,Last Touch
CU002240,Partner,4665.92,First Touch
CU002241,Partner,266.26,Multi-Touch
CU002242,LinkedIn Ads,201.38,First Touch
CU002243,Organic Search,5122.56,First Touch
CU002244,Outbound,252.77,First Touch
CU002245,Partner,1348.56,Last Touch
CU002246,LinkedIn Ads,4486.32,First Touch
CU002247,Event,225.92,First Touch
CU002248,Google Ads,1199.47,Last Touch
CU002249,Event,1185.68,Multi-Touch
CU002250,Organic Search,4260.21,Multi-Touch
CU002251,Google Ads,336.89,Multi-Touch
CU002252,Referral,4526.21,Last Touch
CU002253,Google Ads,4357.64,Last Touch
CU002254,Outbound,4590.7,Last Touch
CU002255,Outbound,1033.81,Last Touch
CU002256,Referral,4285.27,Last Touch
CU002257,Google Ads,4446.82,First Touch
CU002258,Event,997.55,Multi-Touch
CU002259,Event,318.51,Multi-Touch
CU002260,LinkedIn Ads,4178.48,First Touch
CU002261,Organic Search,1281.79,Multi-Touch
CU002262,Referral,750.92,Last Touch
CU002263,Referral,201.08,First Touch
CU002264,Event,4536.06,Multi-Touch
CU002265,Google Ads,4584.9,First Touch
CU002266,Google Ads,4631.3,First Touch
CU002267,Google Ads,1172.67,First Touch
CU002268,Outbound,4962.87,Last Touch
CU002269,Organic Search,507.28,Multi-Touch
CU002270,Event,4586.74,Multi-Touch
CU002271,Organic Search,4439.01,Multi-Touch
CU002272,LinkedIn Ads,1205.28,First Touch
CU002273,Partner,4313.87,First Touch
CU002274,Event,1268.81,Multi-Touch
CU002275,Event,409.89,Last Touch
CU002276,Organic Search,1179.16,First Touch
CU002277,Outbound,1232.42,Multi-Touch
CU002278,Google Ads,4740.37,Last Touch
CU002279,Google Ads,1281.94,Multi-Touch
CU002280,Google Ads,4245.85,Last Touch
CU002281,Organic Search,4485.59,Last Touch
CU002282,LinkedIn Ads,1414.91,Last Touch
CU002283,Google Ads,684.88,First Touch
