ShipmentID,SalesOrderID,WarehouseID,Carrier,ShipDate,DeliveryDate,FreightCost,DeliveryStatus
SH0012827,SO0012827,W04,Local Carrier,2024-08-09,2024-08-12,198.81,On Time
SH0012828,SO0012828,W06,DHL,2024-07-08,2024-07-13,589.12,Late
SH0012829,SO0012829,W01,Local Carrier,2026-04-20,2026-04-25,540.73,On Time
SH0012830,SO0012830,W02,Local Carrier,2025-07-29,2025-07-30,222.85,On Time
SH0012831,SO0012831,W04,UPS,2025-03-24,2025-03-31,518.22,Late
SH0012832,SO0012832,W03,UPS,2024-10-16,2024-10-24,576.15,Late
SH0012833,SO0012833,W06,DHL,2026-08-26,2026-08-30,128.31,Late
SH0012834,SO0012834,W05,UPS,2024-06-08,2024-06-15,382.59,Late
SH0012835,SO0012835,W03,UPS,2026-05-21,2026-06-02,256.38,Late
SH0012836,SO0012836,W02,DHL,2023-01-22,2023-01-30,257.47,Late
SH0012837,SO0012837,W03,Local Carrier,2024-04-13,2024-04-23,268.81,Late
SH0012838,SO0012838,W02,FedEx,2025-05-03,2025-05-16,260.24,Late
SH0012839,SO0012839,W05,UPS,2023-02-22,2023-02-28,529.65,On Time
SH0012840,SO0012840,W05,Local Carrier,2024-03-31,2024-04-06,637.6,On Time
SH0012841,SO0012841,W02,UPS,2024-06-01,2024-06-08,75.13,Late
SH0012842,SO0012842,W05,UPS,2023-03-23,2023-03-25,318.0,On Time
SH0012843,SO0012843,W04,FedEx,2024-11-12,2024-11-20,596.4,On Time
SH0012844,SO0012844,W03,FedEx,2025-11-11,2025-11-22,42.66,Late
SH0012845,SO0012845,W04,FedEx,2024-12-24,2024-12-28,114.44,Late
SH0012846,SO0012846,W02,UPS,2025-08-30,2025-09-05,153.86,On Time
SH0012847,SO0012847,W01,Local Carrier,2025-08-14,2025-08-18,274.42,On Time
SH0012848,SO0012848,W03,Local Carrier,2024-12-20,2024-12-27,84.54,On Time
SH0012849,SO0012849,W01,DHL,2026-05-15,2026-05-25,215.99,Late
SH0012850,SO0012850,W05,FedEx,2024-07-29,2024-08-02,367.62,Late
SH0012851,SO0012851,W04,UPS,2024-08-04,2024-08-08,281.04,On Time
SH0012852,SO0012852,W04,FedEx,2023-02-27,2023-03-08,28.82,Late
SH0012853,SO0012853,W01,UPS,2023-11-09,2023-11-18,89.39,Late
SH0012854,SO0012854,W02,DHL,2024-01-25,2024-02-04,570.13,Late
SH0012855,SO0012855,W01,FedEx,2024-07-20,2024-07-24,429.61,On Time
SH0012856,SO0012856,W01,FedEx,2025-02-12,2025-02-23,330.57,Late
SH0012857,SO0012857,W02,FedEx,2023-07-18,2023-07-23,288.12,On Time
SH0012858,SO0012858,W06,UPS,2023-11-27,2023-12-02,864.32,On Time
SH0012859,SO0012859,W05,DHL,2024-08-15,2024-08-17,469.02,On Time
SH0012860,SO0012860,W05,Local Carrier,2024-06-08,2024-06-15,155.36,Late
SH0012861,SO0012861,W03,FedEx,2024-07-22,2024-07-31,120.22,Late
SH0012862,SO0012862,W04,FedEx,2023-09-01,2023-09-11,661.47,Late
SH0012863,SO0012863,W03,DHL,2026-08-05,2026-08-12,1077.86,Late
SH0012864,SO0012864,W04,DHL,2023-11-13,2023-11-22,269.18,Late
SH0012865,SO0012865,W05,DHL,2023-03-23,2023-03-29,1052.92,Late
SH0012866,SO0012866,W02,FedEx,2025-08-14,2025-08-24,458.39,Late
SH0012867,SO0012867,W06,FedEx,2023-06-20,2023-06-24,678.22,On Time
SH0012868,SO0012868,W05,FedEx,2023-08-26,2023-08-28,386.84,Late
SH0012869,SO0012869,W04,DHL,2023-04-19,2023-04-24,905.66,On Time
SH0012870,SO0012870,W03,Local Carrier,2023-07-07,2023-07-08,66.35,On Time
SH0012871,SO0012871,W02,FedEx,2026-01-23,2026-01-31,369.53,Late
SH0012872,SO0012872,W03,Local Carrier,2025-06-28,2025-07-05,478.87,On Time
SH0012873,SO0012873,W01,DHL,2023-04-10,2023-04-20,92.2,Late
SH0012874,SO0012874,W05,UPS,2024-04-10,2024-04-14,843.08,On Time
SH0012875,SO0012875,W06,DHL,2025-01-22,2025-01-26,182.98,On Time
SH0012876,SO0012876,W04,Local Carrier,2023-10-13,2023-10-19,42.51,Late
SH0012877,SO0012877,W03,UPS,2024-07-07,2024-07-13,310.5,Late
SH0012878,SO0012878,W04,FedEx,2024-11-01,2024-11-03,702.92,On Time
SH0012879,SO0012879,W05,Local Carrier,2025-01-13,2025-01-20,392.73,Late
SH0012880,SO0012880,W01,UPS,2025-08-04,2025-08-06,370.19,On Time
SH0012881,SO0012881,W05,FedEx,2024-01-30,2024-02-05,89.08,On Time
SH0012882,SO0012882,W02,UPS,2026-03-06,2026-03-09,664.12,On Time
SH0012883,SO0012883,W05,DHL,2024-01-07,2024-01-14,134.3,Late
SH0012884,SO0012884,W06,UPS,2023-09-29,2023-10-09,682.62,Late
SH0012885,SO0012885,W03,FedEx,2023-12-21,2023-12-23,527.93,On Time
SH0012886,SO0012886,W02,DHL,2025-05-18,2025-05-26,447.41,Late
SH0012887,SO0012887,W05,UPS,2023-02-03,2023-02-07,366.93,On Time
SH0012888,SO0012888,W01,FedEx,2025-06-19,2025-06-30,636.58,Late
SH0012889,SO0012889,W04,UPS,2025-07-24,2025-08-03,602.94,Late
SH0012890,SO0012890,W02,UPS,2025-08-14,2025-08-15,893.23,On Time
SH0012891,SO0012891,W02,UPS,2023-12-07,2023-12-13,443.64,On Time
SH0012892,SO0012892,W03,DHL,2025-12-25,2025-12-28,234.73,Late
SH0012893,SO0012893,W02,FedEx,2024-03-13,2024-03-19,45.01,On Time
SH0012894,SO0012894,W01,Local Carrier,2023-07-06,2023-07-11,539.47,Late
SH0012895,SO0012895,W04,UPS,2025-12-25,2026-01-02,456.0,On Time
SH0012896,SO0012896,W02,UPS,2024-07-24,2024-07-29,467.46,On Time
SH0012897,SO0012897,W02,UPS,2023-11-05,2023-11-10,222.1,On Time
SH0012898,SO0012898,W01,Local Carrier,2025-08-15,2025-08-20,594.6,Late
SH0012899,SO0012899,W02,UPS,2026-05-02,2026-05-14,377.93,Late
SH0012900,SO0012900,W02,Local Carrier,2024-04-09,2024-04-15,966.95,Late
SH0012901,SO0012901,W06,DHL,2024-05-19,2024-05-24,83.69,Late
SH0012902,SO0012902,W05,DHL,2023-06-04,2023-06-06,441.99,On Time
SH0012903,SO0012903,W06,UPS,2023-10-11,2023-10-15,134.18,Late
SH0012904,SO0012904,W01,FedEx,2025-11-21,2025-12-06,758.04,Late
SH0012905,SO0012905,W05,Local Carrier,2024-05-15,2024-05-24,914.54,Late
SH0012906,SO0012906,W02,DHL,2024-06-15,2024-06-21,1158.49,On Time
SH0012907,SO0012907,W01,UPS,2024-07-28,2024-08-05,124.89,On Time
SH0012908,SO0012908,W02,UPS,2025-09-20,2025-09-29,47.11,Late
SH0012909,SO0012909,W02,Local Carrier,2025-05-04,2025-05-16,470.96,Late
SH0012910,SO0012910,W01,Local Carrier,2025-09-15,2025-09-30,274.06,Late
SH0012911,SO0012911,W02,UPS,2023-12-17,2023-12-18,311.52,On Time
SH0012912,SO0012912,W03,Local Carrier,2023-01-24,2023-01-25,430.81,On Time
SH0012913,SO0012913,W03,Local Carrier,2024-11-02,2024-11-09,418.22,On Time
SH0012914,SO0012914,W03,Local Carrier,2025-10-13,2025-10-26,440.37,Late
SH0012915,SO0012915,W03,Local Carrier,2024-10-05,2024-10-12,443.42,On Time
SH0012916,SO0012916,W06,Local Carrier,2023-08-11,2023-08-16,495.55,Late
SH0012917,SO0012917,W06,FedEx,2023-10-20,2023-10-26,237.75,On Time
SH0012918,SO0012918,W03,Local Carrier,2024-03-30,2024-04-08,338.68,Late
SH0012919,SO0012919,W02,FedEx,2024-09-06,2024-09-10,91.28,Late
SH0012920,SO0012920,W04,Local Carrier,2026-05-30,2026-05-31,606.84,On Time
SH0012921,SO0012921,W05,FedEx,2026-07-23,2026-07-31,118.15,On Time
SH0012922,SO0012922,W05,Local Carrier,2024-11-16,2024-11-24,140.28,On Time
SH0012923,SO0012923,W03,FedEx,2025-01-03,2025-01-12,162.61,Late
SH0012924,SO0012924,W06,UPS,2026-07-04,2026-07-09,438.3,Late
SH0012925,SO0012925,W03,Local Carrier,2025-10-12,2025-10-22,297.41,Late
SH0012926,SO0012926,W06,DHL,2025-12-10,2025-12-19,173.68,Late
SH0012927,SO0012927,W06,Local Carrier,2026-05-03,2026-05-12,491.66,Late
SH0012928,SO0012928,W03,UPS,2024-05-24,2024-06-02,205.13,Late
SH0012929,SO0012929,W04,DHL,2023-05-24,2023-06-01,1040.84,Late
SH0012930,SO0012930,W06,FedEx,2025-01-10,2025-01-13,527.75,On Time
SH0012931,SO0012931,W03,FedEx,2025-06-28,2025-07-04,575.78,Late
SH0012932,SO0012932,W05,UPS,2023-09-28,2023-10-04,576.29,Late
SH0012933,SO0012933,W02,DHL,2026-05-04,2026-05-15,461.73,Late
SH0012934,SO0012934,W05,UPS,2025-10-24,2025-10-30,773.68,On Time
SH0012935,SO0012935,W05,UPS,2025-05-02,2025-05-12,310.41,Late
SH0012936,SO0012936,W02,DHL,2025-01-26,2025-02-10,420.67,Late
SH0012937,SO0012937,W02,Local Carrier,2024-01-22,2024-01-30,613.47,Late
SH0012938,SO0012938,W06,DHL,2024-01-14,2024-01-15,239.39,On Time
SH0012939,SO0012939,W01,UPS,2024-03-10,2024-03-18,248.93,Late
SH0012940,SO0012940,W06,FedEx,2024-12-17,2024-12-25,325.8,Late
SH0012941,SO0012941,W04,UPS,2025-09-28,2025-10-02,219.19,Late
SH0012942,SO0012942,W01,UPS,2023-10-29,2023-11-08,142.18,Late
SH0012943,SO0012943,W04,FedEx,2024-06-14,2024-06-20,377.37,Late
SH0012944,SO0012944,W02,UPS,2024-01-11,2024-01-14,981.54,Late
SH0012945,SO0012945,W02,Local Carrier,2026-03-05,2026-03-08,447.98,On Time
SH0012946,SO0012946,W01,FedEx,2024-07-24,2024-08-02,270.51,Late
SH0012947,SO0012947,W06,Local Carrier,2025-12-09,2025-12-15,571.23,Late
SH0012948,SO0012948,W03,Local Carrier,2023-03-05,2023-03-08,265.64,On Time
SH0012949,SO0012949,W04,UPS,2025-11-22,2025-11-26,422.62,On Time
SH0012950,SO0012950,W04,Local Carrier,2025-05-21,2025-06-01,138.2,Late
SH0012951,SO0012951,W04,DHL,2025-01-10,2025-01-22,623.34,Late
SH0012952,SO0012952,W03,DHL,2026-08-07,2026-08-08,336.19,On Time
SH0012953,SO0012953,W01,Local Carrier,2023-01-07,2023-01-13,563.06,On Time
SH0012954,SO0012954,W02,Local Carrier,2023-11-14,2023-11-18,300.45,On Time
SH0012955,SO0012955,W01,Local Carrier,2024-07-31,2024-08-02,313.96,On Time
SH0012956,SO0012956,W06,FedEx,2024-08-19,2024-08-28,296.81,Late
SH0012957,SO0012957,W05,UPS,2024-04-22,2024-04-27,63.74,On Time
SH0012958,SO0012958,W03,DHL,2025-04-14,2025-04-18,261.4,On Time
SH0012959,SO0012959,W05,UPS,2024-02-18,2024-02-23,241.48,Late
SH0012960,SO0012960,W04,Local Carrier,2025-02-02,2025-02-10,501.1,On Time
SH0012961,SO0012961,W03,UPS,2024-06-05,2024-06-14,513.28,Late
SH0012962,SO0012962,W05,DHL,2023-02-17,2023-02-25,360.46,On Time
SH0012963,SO0012963,W06,FedEx,2023-10-12,2023-10-15,167.27,On Time
SH0012964,SO0012964,W04,UPS,2023-02-19,2023-02-25,133.34,On Time
SH0012965,SO0012965,W01,UPS,2025-10-06,2025-10-13,110.4,On Time
SH0012966,SO0012966,W04,DHL,2023-07-27,2023-08-03,573.42,Late
SH0012967,SO0012967,W03,FedEx,2025-11-20,2025-11-22,372.9,On Time
SH0012968,SO0012968,W05,FedEx,2023-01-07,2023-01-12,64.52,Late
SH0012969,SO0012969,W01,Local Carrier,2024-12-20,2024-12-27,571.33,Late
SH0012970,SO0012970,W05,FedEx,2023-12-22,2023-12-31,19.89,Late
SH0012971,SO0012971,W05,DHL,2025-05-27,2025-06-03,464.32,On Time
SH0012972,SO0012972,W05,DHL,2024-11-18,2024-11-22,359.15,Late
SH0012973,SO0012973,W03,DHL,2025-01-13,2025-01-21,432.88,On Time
SH0012974,SO0012974,W01,DHL,2024-03-23,2024-04-05,121.48,Late
SH0012975,SO0012975,W05,FedEx,2023-10-02,2023-10-06,559.63,On Time
SH0012976,SO0012976,W05,UPS,2023-07-19,2023-07-23,247.78,On Time
SH0012977,SO0012977,W03,DHL,2025-10-19,2025-10-26,317.88,On Time
SH0012978,SO0012978,W06,Local Carrier,2026-04-16,2026-04-22,107.63,On Time
SH0012979,SO0012979,W05,DHL,2023-12-03,2023-12-13,811.95,Late
SH0012980,SO0012980,W01,DHL,2025-08-30,2025-09-06,388.82,On Time
SH0012981,SO0012981,W04,UPS,2023-11-06,2023-11-17,314.45,Late
SH0012982,SO0012982,W03,DHL,2026-02-26,2026-03-03,128.72,On Time
SH0012983,SO0012983,W05,UPS,2026-03-19,2026-03-26,751.75,On Time
SH0012984,SO0012984,W01,UPS,2024-05-14,2024-05-22,637.66,On Time
SH0012985,SO0012985,W04,UPS,2025-11-13,2025-11-17,360.77,Late
SH0012986,SO0012986,W06,Local Carrier,2026-04-04,2026-04-08,91.22,Late
SH0012987,SO0012987,W06,Local Carrier,2025-06-15,2025-06-20,75.56,Late
SH0012988,SO0012988,W01,Local Carrier,2023-07-26,2023-08-01,522.85,Late
SH0012989,SO0012989,W06,FedEx,2025-02-07,2025-02-15,254.97,On Time
SH0012990,SO0012990,W01,Local Carrier,2023-07-10,2023-07-18,626.95,On Time
SH0012991,SO0012991,W01,Local Carrier,2025-06-04,2025-06-12,220.87,Late
SH0012992,SO0012992,W04,DHL,2025-11-02,2025-11-10,519.69,Late
SH0012993,SO0012993,W04,Local Carrier,2024-07-25,2024-07-28,876.07,Late
SH0012994,SO0012994,W03,Local Carrier,2025-10-15,2025-10-24,658.38,Late
SH0012995,SO0012995,W05,UPS,2026-05-04,2026-05-12,795.54,Late
SH0012996,SO0012996,W03,Local Carrier,2025-07-08,2025-07-18,233.32,Late
SH0012997,SO0012997,W02,DHL,2023-10-15,2023-10-20,170.58,Late
SH0012998,SO0012998,W02,DHL,2025-10-27,2025-11-10,542.43,Late
SH0012999,SO0012999,W01,UPS,2024-08-27,2024-09-04,407.32,On Time
SH0013000,SO0013000,W02,FedEx,2024-06-02,2024-06-05,484.22,Late
SH0013001,SO0013001,W02,Local Carrier,2023-10-20,2023-10-27,125.96,On Time
SH0013002,SO0013002,W04,DHL,2024-03-09,2024-03-17,554.36,Late
SH0013003,SO0013003,W01,FedEx,2025-10-19,2025-10-23,123.5,On Time
SH0013004,SO0013004,W06,FedEx,2026-05-27,2026-05-29,185.73,On Time
SH0013005,SO0013005,W05,DHL,2025-03-20,2025-03-22,125.89,On Time
SH0013006,SO0013006,W05,FedEx,2023-03-05,2023-03-12,297.85,Late
SH0013007,SO0013007,W03,Local Carrier,2024-06-12,2024-06-22,125.96,Late
SH0013008,SO0013008,W05,UPS,2024-08-16,2024-08-23,170.0,Late
SH0013009,SO0013009,W05,UPS,2025-03-12,2025-03-20,693.3,On Time
SH0013010,SO0013010,W01,FedEx,2025-12-08,2025-12-12,991.77,On Time
SH0013011,SO0013011,W02,DHL,2024-02-25,2024-03-01,183.64,On Time
SH0013012,SO0013012,W06,DHL,2026-05-04,2026-05-06,300.71,Late
SH0013013,SO0013013,W03,Local Carrier,2024-08-20,2024-08-29,633.03,Late
SH0013014,SO0013014,W02,UPS,2026-01-27,2026-02-02,484.45,On Time
SH0013015,SO0013015,W04,UPS,2026-03-22,2026-03-28,612.73,On Time
SH0013016,SO0013016,W01,FedEx,2024-06-02,2024-06-09,56.75,On Time
SH0013017,SO0013017,W02,FedEx,2023-10-14,2023-10-21,521.46,On Time
SH0013018,SO0013018,W03,FedEx,2025-01-24,2025-01-26,433.11,On Time
SH0013019,SO0013019,W04,Local Carrier,2024-11-14,2024-11-19,231.77,On Time
SH0013020,SO0013020,W05,UPS,2025-09-21,2025-09-25,355.74,On Time
SH0013021,SO0013021,W06,DHL,2024-05-25,2024-06-01,482.57,On Time
SH0013022,SO0013022,W01,Local Carrier,2026-08-31,2026-09-15,268.17,Late
SH0013023,SO0013023,W02,Local Carrier,2026-04-03,2026-04-07,552.94,On Time
SH0013024,SO0013024,W03,Local Carrier,2026-07-20,2026-07-26,302.38,Late
SH0013025,SO0013025,W06,UPS,2023-10-25,2023-10-31,361.56,Late
SH0013026,SO0013026,W01,FedEx,2026-02-24,2026-02-26,336.78,On Time
SH0013027,SO0013027,W02,FedEx,2023-03-17,2023-03-27,559.15,Late
SH0013028,SO0013028,W06,FedEx,2025-06-25,2025-07-04,500.88,Late
SH0013029,SO0013029,W02,UPS,2023-09-23,2023-09-25,74.78,Late
SH0013030,SO0013030,W04,FedEx,2026-07-30,2026-08-07,195.34,On Time
SH0013031,SO0013031,W01,UPS,2024-02-26,2024-03-05,67.84,On Time
SH0013032,SO0013032,W05,FedEx,2024-11-02,2024-11-09,96.74,Late
SH0013033,SO0013033,W01,DHL,2023-10-11,2023-10-19,742.94,On Time
SH0013034,SO0013034,W02,FedEx,2025-12-17,2025-12-26,133.67,Late
SH0013035,SO0013035,W03,FedEx,2025-11-20,2025-11-24,425.1,Late
SH0013036,SO0013036,W03,UPS,2025-05-02,2025-05-08,188.24,On Time
SH0013037,SO0013037,W05,DHL,2026-01-20,2026-01-27,1055.4,On Time
SH0013038,SO0013038,W02,DHL,2023-09-17,2023-09-22,639.04,On Time
SH0013039,SO0013039,W02,FedEx,2023-05-05,2023-05-12,598.57,Late
SH0013040,SO0013040,W04,Local Carrier,2025-03-06,2025-03-12,173.73,Late
SH0013041,SO0013041,W02,UPS,2026-08-21,2026-08-26,593.95,On Time
SH0013042,SO0013042,W03,Local Carrier,2025-03-05,2025-03-12,116.43,Late
SH0013043,SO0013043,W04,UPS,2024-12-03,2024-12-14,130.05,Late
SH0013044,SO0013044,W01,Local Carrier,2025-04-10,2025-04-18,588.25,On Time
SH0013045,SO0013045,W02,FedEx,2024-03-15,2024-03-18,225.25,Late
SH0013046,SO0013046,W03,Local Carrier,2024-06-26,2024-06-27,561.8,On Time
SH0013047,SO0013047,W06,DHL,2025-11-12,2025-11-14,212.34,Late
SH0013048,SO0013048,W02,UPS,2025-08-09,2025-08-12,99.98,On Time
SH0013049,SO0013049,W06,FedEx,2023-03-22,2023-03-31,237.33,Late
SH0013050,SO0013050,W06,DHL,2026-03-02,2026-03-04,447.04,On Time
SH0013051,SO0013051,W02,Local Carrier,2024-12-20,2024-12-22,108.29,On Time
SH0013052,SO0013052,W01,Local Carrier,2025-12-28,2026-01-02,308.72,Late
SH0013053,SO0013053,W02,UPS,2023-08-07,2023-08-17,534.85,Late
SH0013054,SO0013054,W04,FedEx,2024-09-16,2024-10-01,278.7,Late
SH0013055,SO0013055,W03,UPS,2023-05-17,2023-05-27,423.42,Late
SH0013056,SO0013056,W04,Local Carrier,2023-01-20,2023-01-27,402.53,Late
SH0013057,SO0013057,W01,DHL,2023-12-29,2024-01-10,262.2,Late
SH0013058,SO0013058,W02,DHL,2024-04-25,2024-04-28,247.09,On Time
SH0013059,SO0013059,W03,DHL,2026-04-22,2026-04-27,164.17,On Time
SH0013060,SO0013060,W06,Local Carrier,2025-02-22,2025-03-04,606.28,Late
SH0013061,SO0013061,W05,UPS,2024-04-15,2024-04-16,369.16,On Time
SH0013062,SO0013062,W04,DHL,2025-12-22,2025-12-26,666.6,Late
SH0013063,SO0013063,W06,Local Carrier,2026-01-07,2026-01-22,425.54,Late
SH0013064,SO0013064,W06,Local Carrier,2023-02-14,2023-02-21,566.66,Late
SH0013065,SO0013065,W03,UPS,2025-07-23,2025-07-27,410.34,On Time
SH0013066,SO0013066,W02,DHL,2026-05-16,2026-05-24,311.53,Late
SH0013067,SO0013067,W02,DHL,2023-08-24,2023-08-26,81.7,On Time
SH0013068,SO0013068,W03,UPS,2025-02-05,2025-02-12,534.84,Late
SH0013069,SO0013069,W06,DHL,2024-08-21,2024-08-26,151.21,On Time
SH0013070,SO0013070,W02,UPS,2025-03-25,2025-04-05,504.81,Late
SH0013071,SO0013071,W01,UPS,2026-06-09,2026-06-14,473.45,Late
SH0013072,SO0013072,W06,FedEx,2023-12-27,2024-01-04,424.57,Late
SH0013073,SO0013073,W06,FedEx,2025-07-24,2025-07-31,308.18,On Time
SH0013074,SO0013074,W01,DHL,2026-08-15,2026-08-26,436.53,Late
SH0013075,SO0013075,W03,FedEx,2024-10-30,2024-11-06,334.31,On Time
SH0013076,SO0013076,W03,UPS,2024-05-21,2024-05-31,146.9,Late
SH0013077,SO0013077,W03,UPS,2023-08-02,2023-08-11,585.88,Late
SH0013078,SO0013078,W02,UPS,2023-02-04,2023-02-17,492.51,Late
SH0013079,SO0013079,W03,Local Carrier,2024-04-13,2024-04-21,152.0,Late
SH0013080,SO0013080,W03,FedEx,2024-02-09,2024-02-14,318.24,On Time
SH0013081,SO0013081,W04,UPS,2024-06-13,2024-06-16,60.71,On Time
SH0013082,SO0013082,W06,DHL,2026-01-27,2026-02-07,77.4,Late
SH0013083,SO0013083,W01,UPS,2024-03-17,2024-03-27,79.28,Late
SH0013084,SO0013084,W01,UPS,2023-07-01,2023-07-12,312.41,Late
SH0013085,SO0013085,W06,Local Carrier,2024-06-19,2024-06-22,656.48,On Time
SH0013086,SO0013086,W02,Local Carrier,2024-07-30,2024-08-04,115.13,On Time
SH0013087,SO0013087,W01,UPS,2023-07-02,2023-07-07,706.53,Late
SH0013088,SO0013088,W04,DHL,2026-05-14,2026-05-17,803.15,Late
SH0013089,SO0013089,W04,Local Carrier,2024-02-13,2024-02-15,219.44,Late
SH0013090,SO0013090,W02,FedEx,2024-10-16,2024-10-26,304.63,Late
SH0013091,SO0013091,W01,Local Carrier,2025-04-09,2025-04-12,175.67,On Time
SH0013092,SO0013092,W06,UPS,2024-08-31,2024-09-06,279.85,Late
SH0013093,SO0013093,W06,DHL,2026-03-15,2026-03-21,233.37,Late
SH0013094,SO0013094,W05,FedEx,2023-10-23,2023-10-28,539.78,On Time
SH0013095,SO0013095,W03,UPS,2025-12-04,2025-12-06,220.12,Late
SH0013096,SO0013096,W01,FedEx,2025-04-05,2025-04-09,909.72,Late
SH0013097,SO0013097,W02,Local Carrier,2023-10-11,2023-10-21,355.49,Late
SH0013098,SO0013098,W02,UPS,2026-06-11,2026-06-18,533.79,On Time
SH0013099,SO0013099,W03,FedEx,2024-08-19,2024-08-22,72.06,On Time
SH0013100,SO0013100,W03,Local Carrier,2024-09-12,2024-09-16,331.46,Late
SH0013101,SO0013101,W04,Local Carrier,2023-07-06,2023-07-10,959.87,On Time
SH0013102,SO0013102,W02,DHL,2023-10-14,2023-10-20,584.74,Late
SH0013103,SO0013103,W01,Local Carrier,2024-09-16,2024-09-20,531.53,On Time
SH0013104,SO0013104,W03,DHL,2023-04-15,2023-04-20,644.14,Late
SH0013105,SO0013105,W02,FedEx,2025-04-05,2025-04-17,228.95,Late
SH0013106,SO0013106,W01,Local Carrier,2024-06-24,2024-06-26,836.92,On Time
SH0013107,SO0013107,W02,FedEx,2026-06-29,2026-07-04,504.1,On Time
SH0013108,SO0013108,W05,DHL,2024-05-29,2024-06-08,97.86,Late
SH0013109,SO0013109,W05,DHL,2026-01-10,2026-01-25,408.5,Late
SH0013110,SO0013110,W04,UPS,2023-10-04,2023-10-07,70.04,On Time
SH0013111,SO0013111,W05,Local Carrier,2026-07-24,2026-08-02,192.63,Late
SH0013112,SO0013112,W02,Local Carrier,2024-07-27,2024-08-04,413.8,Late
SH0013113,SO0013113,W01,DHL,2025-08-29,2025-09-03,236.8,Late
SH0013114,SO0013114,W03,UPS,2023-02-27,2023-03-02,387.08,On Time
SH0013115,SO0013115,W01,FedEx,2024-09-21,2024-09-29,1037.64,Late
SH0013116,SO0013116,W06,DHL,2025-01-05,2025-01-11,301.7,Late
SH0013117,SO0013117,W04,DHL,2025-02-22,2025-03-05,173.13,Late
SH0013118,SO0013118,W06,FedEx,2024-06-25,2024-06-26,270.05,On Time
SH0013119,SO0013119,W01,Local Carrier,2025-10-18,2025-10-22,125.9,On Time
SH0013120,SO0013120,W02,FedEx,2023-12-30,2024-01-07,36.15,Late
SH0013121,SO0013121,W03,UPS,2026-06-06,2026-06-09,165.09,Late
SH0013122,SO0013122,W04,Local Carrier,2024-06-21,2024-06-29,517.7,Late
SH0013123,SO0013123,W03,FedEx,2024-09-19,2024-09-27,450.81,On Time
SH0013124,SO0013124,W06,DHL,2023-04-02,2023-04-15,480.38,Late
SH0013125,SO0013125,W05,FedEx,2025-02-19,2025-02-27,459.98,On Time
SH0013126,SO0013126,W06,DHL,2025-05-29,2025-06-07,416.57,Late
SH0013127,SO0013127,W03,UPS,2026-08-03,2026-08-10,259.84,On Time
SH0013128,SO0013128,W01,Local Carrier,2023-11-12,2023-11-20,251.12,Late
SH0013129,SO0013129,W02,Local Carrier,2025-04-20,2025-04-28,123.01,On Time
SH0013130,SO0013130,W03,DHL,2025-07-03,2025-07-07,177.11,On Time
SH0013131,SO0013131,W05,DHL,2025-03-22,2025-04-01,243.56,Late
SH0013132,SO0013132,W01,Local Carrier,2026-08-27,2026-09-05,301.21,Late
SH0013133,SO0013133,W05,FedEx,2024-06-22,2024-07-06,420.58,Late
SH0013134,SO0013134,W06,Local Carrier,2024-02-08,2024-02-17,239.17,Late
SH0013135,SO0013135,W06,Local Carrier,2024-05-28,2024-06-03,53.92,Late
SH0013136,SO0013136,W01,Local Carrier,2026-04-10,2026-04-17,153.79,Late
SH0013137,SO0013137,W05,Local Carrier,2023-04-28,2023-05-05,530.57,On Time
SH0013138,SO0013138,W05,FedEx,2026-02-17,2026-02-23,445.96,Late
SH0013139,SO0013139,W04,FedEx,2025-10-24,2025-10-28,93.29,On Time
SH0013140,SO0013140,W05,FedEx,2024-04-18,2024-04-22,142.93,On Time
SH0013141,SO0013141,W05,Local Carrier,2023-08-13,2023-08-17,946.21,On Time
SH0013142,SO0013142,W03,UPS,2023-04-20,2023-04-22,373.67,On Time
SH0013143,SO0013143,W01,Local Carrier,2026-04-16,2026-04-21,507.02,Late
SH0013144,SO0013144,W04,FedEx,2024-03-31,2024-04-12,403.12,Late
SH0013145,SO0013145,W03,UPS,2023-11-22,2023-11-28,280.12,Late
SH0013146,SO0013146,W04,FedEx,2025-06-25,2025-06-30,556.77,On Time
SH0013147,SO0013147,W05,FedEx,2024-04-11,2024-04-16,623.81,Late
SH0013148,SO0013148,W01,DHL,2026-03-26,2026-04-01,76.18,On Time
SH0013149,SO0013149,W06,Local Carrier,2024-08-29,2024-09-06,182.15,On Time
SH0013150,SO0013150,W05,Local Carrier,2026-05-21,2026-06-02,457.53,Late
SH0013151,SO0013151,W01,FedEx,2023-12-23,2023-12-27,1015.35,Late
SH0013152,SO0013152,W06,DHL,2024-05-31,2024-06-04,742.26,On Time
SH0013153,SO0013153,W02,UPS,2026-03-15,2026-03-21,509.72,Late
SH0013154,SO0013154,W03,UPS,2023-10-23,2023-10-26,749.78,Late
SH0013155,SO0013155,W06,FedEx,2025-02-03,2025-02-09,69.26,Late
SH0013156,SO0013156,W01,FedEx,2024-06-28,2024-07-05,156.6,On Time
SH0013157,SO0013157,W06,Local Carrier,2026-01-19,2026-01-31,245.86,Late
SH0013158,SO0013158,W04,UPS,2024-09-06,2024-09-08,421.36,On Time
SH0013159,SO0013159,W05,DHL,2026-01-03,2026-01-15,111.59,Late
SH0013160,SO0013160,W05,Local Carrier,2025-05-23,2025-05-29,317.6,On Time
SH0013161,SO0013161,W05,UPS,2023-11-16,2023-11-17,155.19,On Time
