TouchpointID,LeadID,TouchDate,CampaignID,ChannelID,TouchSequence,TouchType
TP00035908,L010255,2024-11-19,CAM0212,CH06,1,Email Open
TP00035909,L010255,2024-11-13,CAM0237,CH01,2,Form Submit
TP00035910,L010255,2024-10-16,CAM0160,CH04,3,Form Submit
TP00035911,L010256,2025-06-20,CAM0181,CH01,1,Website Visit
TP00035912,L010256,2025-06-08,CAM0269,CH03,2,Click
TP00035913,L010256,2025-05-28,CAM0240,CH03,3,Website Visit
TP00035914,L010257,2024-06-24,CAM0259,CH06,1,Form Submit
TP00035915,L010257,2024-07-04,CAM0133,CH06,2,Click
TP00035916,L010257,2024-07-08,CAM0228,CH02,3,Website Visit
TP00035917,L010257,2024-07-02,CAM0086,CH07,4,Form Submit
TP00035918,L010257,2024-07-04,CAM0233,CH04,5,Click
TP00035919,L010257,2024-07-17,CAM0286,CH05,6,Website Visit
TP00035920,L010258,2023-12-23,CAM0059,CH01,1,Click
TP00035921,L010259,2024-11-03,CAM0196,CH02,1,Email Open
TP00035922,L010259,2024-10-06,CAM0128,CH05,2,Form Submit
TP00035923,L010259,2024-10-12,CAM0083,CH05,3,Click
TP00035924,L010259,2024-10-04,CAM0233,CH04,4,Click
TP00035925,L010259,2024-11-07,CAM0170,CH02,5,Click
TP00035926,L010260,2024-05-22,CAM0127,CH07,1,Form Submit
TP00035927,L010260,2024-06-16,CAM0143,CH01,2,Form Submit
TP00035928,L010260,2024-06-03,CAM0115,CH06,3,Email Open
TP00035929,L010260,2024-05-31,CAM0223,CH05,4,Website Visit
TP00035930,L010260,2024-05-25,CAM0285,CH06,5,Impression
TP00035931,L010261,2024-09-07,CAM0238,CH02,1,Website Visit
TP00035932,L010261,2024-08-27,CAM0114,CH05,2,Click
TP00035933,L010261,2024-08-29,CAM0027,CH01,3,Impression
TP00035934,L010261,2024-09-26,CAM0151,CH04,4,Website Visit
TP00035935,L010261,2024-09-20,CAM0255,CH03,5,Impression
TP00035936,L010261,2024-09-18,CAM0003,CH07,6,Email Open
TP00035937,L010262,2025-02-26,CAM0239,CH05,1,Email Open
TP00035938,L010262,2025-02-22,CAM0150,CH02,2,Email Open
TP00035939,L010262,2025-02-19,CAM0114,CH05,3,Form Submit
TP00035940,L010262,2025-02-07,CAM0251,CH06,4,Email Open
TP00035941,L010263,2025-11-18,CAM0152,CH03,1,Impression
TP00035942,L010264,2025-06-19,CAM0231,CH05,1,Form Submit
TP00035943,L010264,2025-07-10,CAM0151,CH04,2,Impression
TP00035944,L010265,2023-12-20,CAM0152,CH03,1,Website Visit
TP00035945,L010265,2023-12-28,CAM0247,CH05,2,Email Open
TP00035946,L010265,2023-12-13,CAM0223,CH05,3,Email Open
TP00035947,L010265,2023-12-07,CAM0183,CH07,4,Website Visit
TP00035948,L010266,2025-08-12,CAM0070,CH02,1,Impression
TP00035949,L010267,2024-11-24,CAM0105,CH02,1,Website Visit
TP00035950,L010267,2024-11-16,CAM0284,CH04,2,Website Visit
TP00035951,L010267,2024-11-28,CAM0289,CH03,3,Form Submit
TP00035952,L010267,2024-11-10,CAM0126,CH04,4,Form Submit
TP00035953,L010267,2024-11-03,CAM0021,CH01,5,Email Open
TP00035954,L010267,2024-11-15,CAM0213,CH01,6,Form Submit
TP00035955,L010268,2024-02-15,CAM0031,CH03,1,Website Visit
TP00035956,L010268,2024-02-27,CAM0156,CH07,2,Email Open
TP00035957,L010268,2024-02-23,CAM0004,CH07,3,Form Submit
TP00035958,L010268,2024-02-19,CAM0226,CH03,4,Impression
TP00035959,L010269,2024-09-30,CAM0142,CH06,1,Impression
TP00035960,L010270,2024-01-04,CAM0057,CH04,1,Form Submit
TP00035961,L010270,2023-11-29,CAM0142,CH06,2,Form Submit
TP00035962,L010271,2024-10-27,CAM0023,CH02,1,Impression
TP00035963,L010271,2024-11-29,CAM0041,CH04,2,Click
TP00035964,L010271,2024-11-08,CAM0219,CH04,3,Impression
TP00035965,L010271,2024-11-11,CAM0125,CH01,4,Email Open
TP00035966,L010271,2024-11-14,CAM0044,CH06,5,Email Open
TP00035967,L010272,2024-07-29,CAM0192,CH05,1,Website Visit
TP00035968,L010272,2024-07-29,CAM0282,CH03,2,Click
TP00035969,L010272,2024-07-28,CAM0168,CH02,3,Email Open
TP00035970,L010273,2026-04-07,CAM0089,CH01,1,Impression
TP00035971,L010273,2026-04-01,CAM0285,CH06,2,Click
TP00035972,L010274,2023-12-27,CAM0022,CH04,1,Click
TP00035973,L010274,2023-12-25,CAM0059,CH01,2,Email Open
TP00035974,L010274,2024-01-02,CAM0225,CH06,3,Website Visit
TP00035975,L010274,2023-11-30,CAM0270,CH07,4,Click
TP00035976,L010274,2023-12-31,CAM0287,CH05,5,Form Submit
TP00035977,L010274,2023-12-26,CAM0159,CH01,6,Click
TP00035978,L010275,2023-12-06,CAM0023,CH02,1,Impression
TP00035979,L010275,2024-01-01,CAM0043,CH07,2,Click
TP00035980,L010276,2025-03-18,CAM0157,CH02,1,Click
TP00035981,L010276,2025-04-02,CAM0252,CH07,2,Click
TP00035982,L010276,2025-03-23,CAM0093,CH07,3,Impression
TP00035983,L010277,2024-06-08,CAM0038,CH05,1,Click
TP00035984,L010277,2024-06-18,CAM0017,CH02,2,Impression
TP00035985,L010277,2024-06-07,CAM0272,CH06,3,Form Submit
TP00035986,L010277,2024-05-24,CAM0125,CH01,4,Email Open
TP00035987,L010277,2024-05-20,CAM0075,CH05,5,Impression
TP00035988,L010277,2024-06-11,CAM0037,CH01,6,Click
TP00035989,L010278,2024-08-26,CAM0213,CH01,1,Click
TP00035990,L010278,2024-08-20,CAM0161,CH05,2,Form Submit
TP00035991,L010278,2024-09-28,CAM0164,CH03,3,Click
TP00035992,L010278,2024-08-26,CAM0018,CH01,4,Form Submit
TP00035993,L010279,2025-11-14,CAM0220,CH03,1,Website Visit
TP00035994,L010279,2025-10-25,CAM0077,CH02,2,Click
TP00035995,L010279,2025-11-07,CAM0008,CH02,3,Impression
TP00035996,L010280,2025-06-22,CAM0297,CH07,1,Impression
TP00035997,L010280,2025-06-13,CAM0111,CH05,2,Impression
TP00035998,L010280,2025-07-02,CAM0248,CH02,3,Click
TP00035999,L010280,2025-06-25,CAM0250,CH01,4,Email Open
TP00036000,L010280,2025-06-09,CAM0102,CH01,5,Email Open
TP00036001,L010281,2025-01-24,CAM0118,CH07,1,Website Visit
TP00036002,L010282,2024-08-16,CAM0165,CH07,1,Click
TP00036003,L010283,2025-12-28,CAM0017,CH02,1,Form Submit
TP00036004,L010284,2026-02-07,CAM0132,CH01,1,Email Open
TP00036005,L010284,2026-02-07,CAM0212,CH06,2,Click
TP00036006,L010284,2026-03-17,CAM0300,CH01,3,Email Open
TP00036007,L010285,2025-10-26,CAM0024,CH04,1,Click
TP00036008,L010285,2025-12-06,CAM0233,CH04,2,Email Open
TP00036009,L010285,2025-11-08,CAM0068,CH06,3,Email Open
TP00036010,L010286,2024-05-09,CAM0173,CH06,1,Form Submit
TP00036011,L010286,2024-05-17,CAM0075,CH05,2,Impression
TP00036012,L010286,2024-05-29,CAM0090,CH02,3,Click
TP00036013,L010286,2024-05-11,CAM0012,CH07,4,Form Submit
TP00036014,L010286,2024-05-14,CAM0074,CH04,5,Email Open
TP00036015,L010286,2024-06-10,CAM0195,CH04,6,Form Submit
TP00036016,L010287,2026-07-03,CAM0289,CH03,1,Impression
TP00036017,L010287,2026-07-17,CAM0254,CH01,2,Impression
TP00036018,L010287,2026-07-28,CAM0291,CH02,3,Email Open
TP00036019,L010287,2026-06-21,CAM0236,CH07,4,Impression
TP00036020,L010288,2024-04-18,CAM0150,CH02,1,Website Visit
TP00036021,L010288,2024-05-10,CAM0157,CH02,2,Click
TP00036022,L010288,2024-04-28,CAM0083,CH05,3,Email Open
TP00036023,L010288,2024-04-04,CAM0208,CH06,4,Email Open
TP00036024,L010289,2024-11-24,CAM0017,CH02,1,Website Visit
TP00036025,L010289,2024-11-16,CAM0152,CH03,2,Impression
TP00036026,L010289,2024-11-25,CAM0225,CH06,3,Impression
TP00036027,L010289,2024-11-10,CAM0209,CH03,4,Email Open
TP00036028,L010289,2024-11-22,CAM0015,CH06,5,Impression
TP00036029,L010290,2024-08-27,CAM0208,CH06,1,Click
TP00036030,L010290,2024-08-13,CAM0108,CH01,2,Impression
TP00036031,L010290,2024-08-26,CAM0063,CH04,3,Form Submit
TP00036032,L010290,2024-08-09,CAM0104,CH06,4,Website Visit
TP00036033,L010290,2024-09-09,CAM0211,CH01,5,Form Submit
TP00036034,L010291,2026-04-15,CAM0056,CH07,1,Click
TP00036035,L010292,2025-04-17,CAM0005,CH02,1,Form Submit
TP00036036,L010293,2026-01-31,CAM0189,CH03,1,Click
TP00036037,L010293,2026-01-28,CAM0116,CH02,2,Website Visit
TP00036038,L010294,2024-04-19,CAM0160,CH04,1,Impression
TP00036039,L010294,2024-04-06,CAM0281,CH05,2,Email Open
TP00036040,L010294,2024-04-19,CAM0169,CH05,3,Website Visit
TP00036041,L010295,2024-06-16,CAM0016,CH02,1,Impression
TP00036042,L010295,2024-06-16,CAM0154,CH03,2,Form Submit
TP00036043,L010295,2024-06-26,CAM0053,CH04,3,Website Visit
TP00036044,L010295,2024-06-04,CAM0072,CH04,4,Website Visit
TP00036045,L010296,2024-05-23,CAM0048,CH06,1,Form Submit
TP00036046,L010297,2024-03-17,CAM0204,CH06,1,Email Open
TP00036047,L010297,2024-03-14,CAM0013,CH03,2,Impression
TP00036048,L010297,2024-03-07,CAM0037,CH01,3,Form Submit
TP00036049,L010297,2024-03-11,CAM0005,CH02,4,Website Visit
TP00036050,L010297,2024-03-01,CAM0007,CH02,5,Click
TP00036051,L010297,2024-02-17,CAM0132,CH01,6,Click
TP00036052,L010298,2024-12-29,CAM0201,CH03,1,Impression
TP00036053,L010298,2025-01-29,CAM0249,CH01,2,Click
TP00036054,L010298,2024-12-31,CAM0057,CH04,3,Impression
TP00036055,L010298,2025-01-16,CAM0099,CH05,4,Impression
TP00036056,L010299,2026-05-06,CAM0189,CH03,1,Form Submit
TP00036057,L010299,2026-05-17,CAM0176,CH05,2,Email Open
TP00036058,L010299,2026-05-30,CAM0018,CH01,3,Email Open
TP00036059,L010299,2026-05-06,CAM0150,CH02,4,Form Submit
TP00036060,L010299,2026-06-05,CAM0289,CH03,5,Impression
TP00036061,L010299,2026-05-02,CAM0193,CH06,6,Email Open
TP00036062,L010300,2023-12-12,CAM0064,CH06,1,Impression
TP00036063,L010300,2023-12-19,CAM0001,CH04,2,Website Visit
TP00036064,L010300,2023-11-27,CAM0142,CH06,3,Form Submit
TP00036065,L010300,2023-12-05,CAM0021,CH01,4,Form Submit
TP00036066,L010301,2024-09-26,CAM0288,CH03,1,Form Submit
TP00036067,L010301,2024-09-24,CAM0270,CH07,2,Website Visit
TP00036068,L010302,2026-03-02,CAM0114,CH05,1,Click
TP00036069,L010302,2026-03-23,CAM0204,CH06,2,Click
TP00036070,L010303,2024-04-03,CAM0196,CH02,1,Website Visit
TP00036071,L010303,2024-04-25,CAM0031,CH03,2,Click
TP00036072,L010303,2024-04-21,CAM0090,CH02,3,Click
TP00036073,L010303,2024-05-05,CAM0190,CH06,4,Website Visit
TP00036074,L010303,2024-04-14,CAM0108,CH01,5,Email Open
TP00036075,L010304,2026-07-22,CAM0116,CH02,1,Impression
TP00036076,L010305,2024-07-02,CAM0036,CH02,1,Form Submit
TP00036077,L010305,2024-06-30,CAM0094,CH01,2,Email Open
TP00036078,L010306,2025-10-21,CAM0038,CH05,1,Form Submit
TP00036079,L010306,2025-10-20,CAM0060,CH05,2,Email Open
TP00036080,L010307,2025-07-31,CAM0194,CH07,1,Impression
TP00036081,L010307,2025-07-24,CAM0125,CH01,2,Form Submit
TP00036082,L010307,2025-07-06,CAM0148,CH04,3,Click
TP00036083,L010307,2025-07-20,CAM0107,CH01,4,Click
TP00036084,L010308,2025-09-24,CAM0224,CH06,1,Website Visit
TP00036085,L010308,2025-09-26,CAM0145,CH07,2,Click
TP00036086,L010308,2025-09-30,CAM0069,CH04,3,Click
TP00036087,L010308,2025-09-19,CAM0063,CH04,4,Impression
TP00036088,L010308,2025-10-12,CAM0025,CH03,5,Website Visit
TP00036089,L010309,2025-01-25,CAM0121,CH02,1,Impression
TP00036090,L010309,2025-01-29,CAM0064,CH06,2,Form Submit
TP00036091,L010309,2025-01-16,CAM0212,CH06,3,Click
TP00036092,L010309,2025-01-28,CAM0093,CH07,4,Website Visit
TP00036093,L010309,2025-01-01,CAM0112,CH06,5,Email Open
TP00036094,L010309,2025-01-14,CAM0045,CH06,6,Website Visit
TP00036095,L010310,2024-12-17,CAM0253,CH02,1,Website Visit
TP00036096,L010310,2024-11-23,CAM0172,CH05,2,Form Submit
TP00036097,L010310,2024-11-21,CAM0068,CH06,3,Form Submit
TP00036098,L010310,2024-12-24,CAM0251,CH06,4,Website Visit
TP00036099,L010310,2024-12-11,CAM0236,CH07,5,Email Open
TP00036100,L010311,2024-07-03,CAM0220,CH03,1,Click
TP00036101,L010311,2024-06-01,CAM0154,CH03,2,Impression
TP00036102,L010312,2024-01-28,CAM0213,CH01,1,Website Visit
TP00036103,L010312,2024-02-09,CAM0170,CH02,2,Impression
TP00036104,L010313,2024-12-22,CAM0018,CH01,1,Website Visit
TP00036105,L010313,2024-12-30,CAM0123,CH05,2,Email Open
TP00036106,L010313,2025-01-29,CAM0263,CH04,3,Website Visit
TP00036107,L010313,2025-01-13,CAM0161,CH05,4,Email Open
TP00036108,L010313,2025-02-03,CAM0124,CH03,5,Email Open
TP00036109,L010314,2025-02-07,CAM0055,CH01,1,Impression
TP00036110,L010314,2025-01-25,CAM0199,CH04,2,Email Open
TP00036111,L010314,2025-02-17,CAM0028,CH01,3,Impression
TP00036112,L010314,2025-03-06,CAM0086,CH07,4,Click
TP00036113,L010314,2025-03-06,CAM0117,CH06,5,Email Open
TP00036114,L010315,2024-09-15,CAM0271,CH02,1,Website Visit
TP00036115,L010315,2024-10-01,CAM0028,CH01,2,Email Open
TP00036116,L010315,2024-09-09,CAM0116,CH02,3,Website Visit
TP00036117,L010315,2024-09-01,CAM0132,CH01,4,Click
TP00036118,L010315,2024-09-24,CAM0217,CH06,5,Website Visit
TP00036119,L010315,2024-09-23,CAM0208,CH06,6,Email Open
TP00036120,L010316,2024-11-15,CAM0055,CH01,1,Email Open
TP00036121,L010316,2024-11-23,CAM0288,CH03,2,Form Submit
TP00036122,L010317,2025-11-25,CAM0204,CH06,1,Website Visit
TP00036123,L010317,2025-12-05,CAM0033,CH01,2,Click
TP00036124,L010317,2025-10-27,CAM0185,CH06,3,Impression
TP00036125,L010318,2025-10-28,CAM0265,CH02,1,Form Submit
TP00036126,L010318,2025-10-20,CAM0096,CH02,2,Website Visit
TP00036127,L010318,2025-10-30,CAM0241,CH01,3,Click
TP00036128,L010318,2025-11-04,CAM0098,CH07,4,Form Submit
TP00036129,L010319,2024-08-10,CAM0091,CH06,1,Website Visit
TP00036130,L010319,2024-08-02,CAM0036,CH02,2,Impression
TP00036131,L010319,2024-08-24,CAM0139,CH06,3,Website Visit
TP00036132,L010319,2024-07-31,CAM0154,CH03,4,Form Submit
TP00036133,L010319,2024-08-25,CAM0233,CH04,5,Form Submit
TP00036134,L010320,2025-04-22,CAM0290,CH04,1,Website Visit
TP00036135,L010320,2025-05-03,CAM0096,CH02,2,Website Visit
TP00036136,L010320,2025-05-13,CAM0144,CH02,3,Form Submit
TP00036137,L010320,2025-04-26,CAM0002,CH06,4,Form Submit
TP00036138,L010320,2025-05-18,CAM0161,CH05,5,Email Open
TP00036139,L010320,2025-04-13,CAM0195,CH04,6,Website Visit
TP00036140,L010321,2026-05-03,CAM0124,CH03,1,Email Open
TP00036141,L010322,2025-08-29,CAM0144,CH02,1,Website Visit
TP00036142,L010322,2025-09-13,CAM0285,CH06,2,Impression
TP00036143,L010322,2025-09-10,CAM0059,CH01,3,Impression
TP00036144,L010323,2025-09-29,CAM0116,CH02,1,Click
TP00036145,L010323,2025-10-01,CAM0056,CH07,2,Form Submit
TP00036146,L010323,2025-08-25,CAM0127,CH07,3,Form Submit
TP00036147,L010323,2025-09-05,CAM0057,CH04,4,Email Open
TP00036148,L010323,2025-09-05,CAM0056,CH07,5,Impression
TP00036149,L010323,2025-08-31,CAM0260,CH03,6,Website Visit
TP00036150,L010324,2024-07-02,CAM0041,CH04,1,Email Open
TP00036151,L010324,2024-06-18,CAM0281,CH05,2,Form Submit
TP00036152,L010324,2024-06-19,CAM0171,CH03,3,Website Visit
TP00036153,L010324,2024-06-06,CAM0174,CH02,4,Form Submit
TP00036154,L010324,2024-06-23,CAM0188,CH01,5,Email Open
TP00036155,L010324,2024-06-01,CAM0059,CH01,6,Click
TP00036156,L010325,2024-12-24,CAM0251,CH06,1,Click
TP00036157,L010325,2024-12-26,CAM0103,CH06,2,Impression
TP00036158,L010325,2024-12-23,CAM0279,CH07,3,Impression
TP00036159,L010325,2024-12-15,CAM0054,CH01,4,Impression
TP00036160,L010326,2025-10-04,CAM0053,CH04,1,Impression
TP00036161,L010326,2025-10-09,CAM0067,CH07,2,Email Open
TP00036162,L010326,2025-10-21,CAM0078,CH04,3,Click
TP00036163,L010326,2025-09-21,CAM0056,CH07,4,Click
TP00036164,L010326,2025-10-04,CAM0125,CH01,5,Click
TP00036165,L010326,2025-09-11,CAM0111,CH05,6,Email Open
TP00036166,L010327,2023-12-09,CAM0153,CH06,1,Website Visit
TP00036167,L010327,2023-12-15,CAM0264,CH03,2,Website Visit
TP00036168,L010327,2024-01-14,CAM0119,CH03,3,Email Open
TP00036169,L010327,2023-12-15,CAM0017,CH02,4,Website Visit
TP00036170,L010327,2023-12-23,CAM0028,CH01,5,Form Submit
TP00036171,L010328,2026-04-26,CAM0219,CH04,1,Website Visit
TP00036172,L010328,2026-04-18,CAM0018,CH01,2,Impression
TP00036173,L010329,2025-09-12,CAM0186,CH05,1,Impression
TP00036174,L010329,2025-08-24,CAM0088,CH02,2,Click
TP00036175,L010330,2024-07-09,CAM0004,CH07,1,Website Visit
TP00036176,L010330,2024-08-09,CAM0059,CH01,2,Click
TP00036177,L010330,2024-07-22,CAM0101,CH06,3,Email Open
TP00036178,L010330,2024-07-28,CAM0015,CH06,4,Impression
TP00036179,L010330,2024-07-27,CAM0033,CH01,5,Website Visit
TP00036180,L010331,2024-09-09,CAM0137,CH02,1,Email Open
TP00036181,L010331,2024-09-24,CAM0250,CH01,2,Click
TP00036182,L010331,2024-08-30,CAM0127,CH07,3,Click
TP00036183,L010332,2024-12-19,CAM0292,CH02,1,Website Visit
TP00036184,L010333,2024-07-24,CAM0266,CH04,1,Email Open
TP00036185,L010333,2024-07-25,CAM0225,CH06,2,Form Submit
TP00036186,L010333,2024-08-19,CAM0131,CH06,3,Email Open
TP00036187,L010333,2024-07-31,CAM0075,CH05,4,Impression
TP00036188,L010333,2024-08-22,CAM0151,CH04,5,Click
TP00036189,L010333,2024-08-14,CAM0203,CH05,6,Impression
TP00036190,L010334,2025-03-15,CAM0208,CH06,1,Website Visit
TP00036191,L010335,2024-12-26,CAM0023,CH02,1,Email Open
TP00036192,L010335,2025-01-29,CAM0210,CH03,2,Email Open
TP00036193,L010335,2024-12-30,CAM0291,CH02,3,Form Submit
TP00036194,L010335,2025-01-14,CAM0226,CH03,4,Email Open
TP00036195,L010335,2024-12-27,CAM0058,CH04,5,Email Open
TP00036196,L010336,2026-06-19,CAM0109,CH04,1,Website Visit
TP00036197,L010336,2026-07-14,CAM0286,CH05,2,Website Visit
TP00036198,L010337,2026-02-10,CAM0206,CH06,1,Click
TP00036199,L010337,2026-02-17,CAM0076,CH04,2,Form Submit
TP00036200,L010337,2026-02-03,CAM0065,CH05,3,Click
TP00036201,L010337,2026-02-12,CAM0040,CH02,4,Form Submit
TP00036202,L010338,2026-04-03,CAM0091,CH06,1,Impression
TP00036203,L010338,2026-03-27,CAM0018,CH01,2,Form Submit
TP00036204,L010338,2026-03-24,CAM0082,CH03,3,Website Visit
TP00036205,L010339,2026-06-04,CAM0179,CH02,1,Email Open
TP00036206,L010339,2026-05-21,CAM0197,CH04,2,Impression
TP00036207,L010339,2026-06-19,CAM0254,CH01,3,Website Visit
TP00036208,L010339,2026-06-05,CAM0215,CH02,4,Email Open
TP00036209,L010339,2026-05-15,CAM0267,CH02,5,Form Submit
TP00036210,L010339,2026-05-15,CAM0121,CH02,6,Impression
TP00036211,L010340,2026-01-19,CAM0134,CH04,1,Website Visit
TP00036212,L010340,2026-01-21,CAM0232,CH06,2,Email Open
TP00036213,L010341,2026-06-08,CAM0113,CH04,1,Email Open
TP00036214,L010341,2026-07-05,CAM0167,CH05,2,Click
TP00036215,L010342,2024-01-25,CAM0221,CH01,1,Click
TP00036216,L010343,2024-04-02,CAM0101,CH06,1,Form Submit
TP00036217,L010343,2024-04-03,CAM0145,CH07,2,Click
TP00036218,L010344,2026-06-04,CAM0046,CH03,1,Form Submit
TP00036219,L010344,2026-06-03,CAM0272,CH06,2,Email Open
TP00036220,L010345,2024-05-27,CAM0168,CH02,1,Website Visit
TP00036221,L010345,2024-06-28,CAM0218,CH07,2,Click
TP00036222,L010346,2025-01-19,CAM0281,CH05,1,Website Visit
TP00036223,L010346,2025-01-02,CAM0193,CH06,2,Click
TP00036224,L010346,2025-01-23,CAM0292,CH02,3,Impression
TP00036225,L010346,2025-02-09,CAM0144,CH02,4,Click
TP00036226,L010346,2025-01-02,CAM0158,CH05,5,Website Visit
TP00036227,L010346,2025-02-10,CAM0002,CH06,6,Impression
TP00036228,L010347,2024-05-12,CAM0210,CH03,1,Impression
TP00036229,L010347,2024-05-11,CAM0186,CH05,2,Email Open
TP00036230,L010347,2024-06-12,CAM0017,CH02,3,Click
TP00036231,L010347,2024-05-14,CAM0234,CH07,4,Impression
TP00036232,L010348,2025-06-02,CAM0248,CH02,1,Form Submit
TP00036233,L010348,2025-07-07,CAM0257,CH07,2,Click
TP00036234,L010348,2025-06-26,CAM0001,CH04,3,Click
TP00036235,L010348,2025-07-15,CAM0135,CH07,4,Website Visit
TP00036236,L010348,2025-07-12,CAM0266,CH04,5,Click
TP00036237,L010348,2025-06-28,CAM0244,CH03,6,Click
TP00036238,L010349,2024-09-16,CAM0080,CH07,1,Form Submit
TP00036239,L010349,2024-09-18,CAM0131,CH06,2,Email Open
TP00036240,L010349,2024-09-19,CAM0191,CH02,3,Click
TP00036241,L010349,2024-09-19,CAM0145,CH07,4,Email Open
TP00036242,L010349,2024-10-06,CAM0266,CH04,5,Website Visit
TP00036243,L010350,2025-12-24,CAM0184,CH07,1,Impression
TP00036244,L010350,2025-12-07,CAM0113,CH04,2,Click
TP00036245,L010350,2026-01-13,CAM0090,CH02,3,Website Visit
TP00036246,L010350,2025-12-26,CAM0270,CH07,4,Impression
TP00036247,L010351,2024-09-11,CAM0029,CH03,1,Email Open
TP00036248,L010352,2025-11-30,CAM0064,CH06,1,Email Open
TP00036249,L010353,2024-05-04,CAM0010,CH04,1,Impression
TP00036250,L010354,2026-04-13,CAM0133,CH06,1,Email Open
TP00036251,L010354,2026-04-10,CAM0166,CH02,2,Impression
TP00036252,L010354,2026-04-19,CAM0091,CH06,3,Email Open
TP00036253,L010354,2026-04-13,CAM0093,CH07,4,Website Visit
TP00036254,L010354,2026-04-09,CAM0214,CH03,5,Email Open
TP00036255,L010355,2024-01-21,CAM0097,CH06,1,Form Submit
TP00036256,L010355,2023-12-15,CAM0011,CH01,2,Impression
TP00036257,L010355,2023-12-15,CAM0238,CH02,3,Impression
TP00036258,L010355,2024-01-05,CAM0224,CH06,4,Form Submit
TP00036259,L010356,2025-08-26,CAM0029,CH03,1,Click
TP00036260,L010356,2025-08-28,CAM0077,CH02,2,Impression
TP00036261,L010356,2025-08-28,CAM0244,CH03,3,Click
TP00036262,L010357,2025-12-18,CAM0155,CH05,1,Click
TP00036263,L010358,2025-06-26,CAM0229,CH02,1,Form Submit
TP00036264,L010358,2025-06-10,CAM0274,CH01,2,Form Submit
TP00036265,L010358,2025-06-26,CAM0183,CH07,3,Impression
TP00036266,L010358,2025-06-01,CAM0081,CH02,4,Form Submit
TP00036267,L010359,2024-01-04,CAM0242,CH02,1,Form Submit
TP00036268,L010359,2023-11-23,CAM0184,CH07,2,Form Submit
TP00036269,L010359,2023-11-29,CAM0080,CH07,3,Website Visit
TP00036270,L010359,2023-12-17,CAM0078,CH04,4,Form Submit
TP00036271,L010360,2025-06-27,CAM0259,CH06,1,Form Submit
TP00036272,L010361,2024-08-21,CAM0142,CH06,1,Impression
TP00036273,L010361,2024-09-14,CAM0241,CH01,2,Email Open
TP00036274,L010362,2026-06-30,CAM0014,CH01,1,Form Submit
TP00036275,L010362,2026-07-01,CAM0009,CH02,2,Click
TP00036276,L010362,2026-07-19,CAM0155,CH05,3,Email Open
TP00036277,L010362,2026-07-25,CAM0102,CH01,4,Website Visit
TP00036278,L010362,2026-06-29,CAM0075,CH05,5,Impression
TP00036279,L010362,2026-07-21,CAM0122,CH02,6,Website Visit
TP00036280,L010363,2026-04-22,CAM0291,CH02,1,Form Submit
TP00036281,L010363,2026-05-03,CAM0028,CH01,2,Website Visit
TP00036282,L010363,2026-05-09,CAM0269,CH03,3,Website Visit
TP00036283,L010364,2026-01-18,CAM0232,CH06,1,Form Submit
TP00036284,L010364,2026-01-29,CAM0055,CH01,2,Click
TP00036285,L010364,2026-02-08,CAM0029,CH03,3,Click
TP00036286,L010365,2025-12-22,CAM0232,CH06,1,Click
TP00036287,L010365,2025-12-15,CAM0143,CH01,2,Click
TP00036288,L010365,2025-12-02,CAM0133,CH06,3,Website Visit
TP00036289,L010365,2026-01-02,CAM0153,CH06,4,Click
TP00036290,L010365,2025-11-28,CAM0143,CH01,5,Website Visit
TP00036291,L010365,2025-12-19,CAM0136,CH07,6,Website Visit
TP00036292,L010366,2026-07-03,CAM0068,CH06,1,Website Visit
TP00036293,L010367,2025-03-08,CAM0232,CH06,1,Form Submit
TP00036294,L010367,2025-03-27,CAM0061,CH01,2,Website Visit
TP00036295,L010367,2025-04-09,CAM0028,CH01,3,Impression
TP00036296,L010367,2025-03-17,CAM0171,CH03,4,Impression
TP00036297,L010368,2025-08-07,CAM0253,CH02,1,Email Open
TP00036298,L010368,2025-09-04,CAM0030,CH06,2,Impression
TP00036299,L010368,2025-08-25,CAM0163,CH01,3,Form Submit
TP00036300,L010369,2025-09-29,CAM0280,CH01,1,Website Visit
TP00036301,L010369,2025-10-18,CAM0240,CH03,2,Form Submit
TP00036302,L010369,2025-10-28,CAM0155,CH05,3,Website Visit
TP00036303,L010369,2025-10-21,CAM0058,CH04,4,Impression
TP00036304,L010370,2026-02-23,CAM0175,CH02,1,Click
TP00036305,L010370,2026-02-26,CAM0143,CH01,2,Click
TP00036306,L010370,2026-02-26,CAM0050,CH04,3,Impression
TP00036307,L010370,2026-02-10,CAM0174,CH02,4,Email Open
TP00036308,L010370,2026-02-19,CAM0100,CH04,5,Form Submit
TP00036309,L010370,2026-03-11,CAM0182,CH04,6,Website Visit
TP00036310,L010371,2026-05-15,CAM0018,CH01,1,Click
TP00036311,L010371,2026-04-23,CAM0199,CH04,2,Impression
TP00036312,L010371,2026-04-19,CAM0253,CH02,3,Click
TP00036313,L010371,2026-04-21,CAM0110,CH02,4,Email Open
TP00036314,L010371,2026-05-07,CAM0092,CH02,5,Click
TP00036315,L010372,2025-12-21,CAM0168,CH02,1,Website Visit
TP00036316,L010372,2025-12-13,CAM0119,CH03,2,Form Submit
TP00036317,L010372,2025-12-23,CAM0172,CH05,3,Impression
TP00036318,L010373,2025-03-12,CAM0289,CH03,1,Impression
TP00036319,L010373,2025-04-07,CAM0051,CH03,2,Email Open
TP00036320,L010373,2025-04-09,CAM0144,CH02,3,Email Open
