LeadID,CreatedDate,CampaignID,ChannelID,Segment,Country,LatestStage,EstimatedValue
L002261,2024-10-06,CAM0141,CH03,Enterprise,Australia,Lead,1462.84
L002262,2026-06-20,CAM0023,CH02,Enterprise,US,Opportunity,2584.23
L002263,2026-06-04,CAM0021,CH01,Mid-Market,Singapore,Lead,439.26
L002264,2025-06-10,CAM0061,CH01,Enterprise,Germany,SQL,2109.21
L002265,2025-01-23,CAM0104,CH06,Mid-Market,Germany,MQL,3538.65
L002266,2025-09-15,CAM0236,CH07,Enterprise,Singapore,MQL,181.12
L002267,2024-12-06,CAM0002,CH06,SMB,Australia,Customer,1161.44
L002268,2025-11-25,CAM0086,CH07,SMB,US,Customer,404.73
L002269,2026-08-10,CAM0128,CH05,SMB,US,Opportunity,2666.78
L002270,2025-03-28,CAM0123,CH05,Enterprise,Australia,Opportunity,1898.71
L002271,2024-01-17,CAM0083,CH05,SMB,Australia,Lead,2301.32
L002272,2024-01-27,CAM0167,CH05,SMB,Singapore,Opportunity,1587.66
L002273,2024-06-16,CAM0081,CH02,Enterprise,Singapore,Customer,4835.8
L002274,2025-01-26,CAM0097,CH06,Enterprise,UK,Opportunity,4010.16
L002275,2026-07-13,CAM0208,CH06,SMB,Singapore,Customer,370.59
L002276,2026-03-06,CAM0183,CH07,SMB,Germany,Customer,2556.07
L002277,2025-12-16,CAM0003,CH07,SMB,Australia,Lead,3374.91
L002278,2026-03-29,CAM0195,CH04,Mid-Market,Germany,Lead,1486.21
L002279,2025-12-17,CAM0144,CH02,SMB,Singapore,MQL,853.4
L002280,2025-08-28,CAM0029,CH03,SMB,US,Customer,1188.86
L002281,2026-07-09,CAM0159,CH01,Enterprise,UK,MQL,1012.3
L002282,2024-09-20,CAM0124,CH03,Mid-Market,US,Lead,1573.18
L002283,2024-12-16,CAM0192,CH05,Mid-Market,UK,Lead,4333.0
L002284,2025-05-25,CAM0055,CH01,Mid-Market,Australia,MQL,3962.28
L002285,2026-04-19,CAM0100,CH04,SMB,Germany,Lead,1579.85
L002286,2025-10-22,CAM0166,CH02,Mid-Market,US,Customer,1611.88
L002287,2026-06-17,CAM0241,CH01,Enterprise,Germany,MQL,419.17
L002288,2024-11-12,CAM0216,CH01,Mid-Market,UK,Lead,1116.81
L002289,2025-04-15,CAM0141,CH03,Mid-Market,Singapore,MQL,1891.65
L002290,2024-08-23,CAM0253,CH02,SMB,Germany,Lead,3878.48
L002291,2026-05-06,CAM0164,CH03,Mid-Market,UK,Opportunity,704.37
L002292,2024-07-11,CAM0029,CH03,Enterprise,Australia,Lead,2603.84
L002293,2024-01-20,CAM0274,CH01,Enterprise,Germany,SQL,4137.94
L002294,2025-10-07,CAM0047,CH07,Mid-Market,Singapore,SQL,4878.46
L002295,2026-08-10,CAM0037,CH01,SMB,US,Lead,2737.42
L002296,2025-07-07,CAM0184,CH07,SMB,Singapore,Lead,101.9
L002297,2026-07-30,CAM0115,CH06,SMB,UK,Lead,663.48
L002298,2026-04-19,CAM0237,CH01,Mid-Market,Australia,Customer,1917.88
L002299,2026-04-13,CAM0248,CH02,SMB,Singapore,SQL,309.49
L002300,2024-12-22,CAM0131,CH06,SMB,US,MQL,2976.12
L002301,2024-09-11,CAM0001,CH04,SMB,Singapore,SQL,2900.64
L002302,2024-12-29,CAM0280,CH01,Enterprise,US,MQL,867.0
L002303,2024-08-17,CAM0239,CH05,SMB,US,SQL,3266.05
L002304,2025-07-05,CAM0143,CH01,Mid-Market,Singapore,Opportunity,320.05
L002305,2024-07-05,CAM0090,CH02,SMB,Singapore,Opportunity,3154.86
L002306,2024-09-30,CAM0004,CH07,Enterprise,Singapore,Customer,1113.39
L002307,2025-07-12,CAM0221,CH01,SMB,Germany,SQL,49.56
L002308,2025-08-05,CAM0172,CH05,SMB,Australia,Lead,2663.71
L002309,2025-11-27,CAM0244,CH03,Enterprise,Germany,MQL,1241.28
L002310,2025-06-01,CAM0253,CH02,SMB,UK,Customer,242.66
L002311,2024-02-04,CAM0066,CH04,Enterprise,Singapore,Lead,749.41
L002312,2025-06-02,CAM0075,CH05,SMB,US,Customer,71.86
L002313,2025-07-05,CAM0255,CH03,Mid-Market,Germany,Lead,1766.71
L002314,2025-11-12,CAM0132,CH01,SMB,UK,Customer,2076.44
L002315,2024-03-27,CAM0255,CH03,Enterprise,Singapore,Opportunity,1765.61
L002316,2025-12-02,CAM0082,CH03,Enterprise,Australia,MQL,2547.77
L002317,2024-03-05,CAM0088,CH02,Mid-Market,Singapore,Lead,3513.54
L002318,2025-05-09,CAM0168,CH02,Enterprise,Singapore,SQL,605.81
L002319,2026-08-08,CAM0044,CH06,SMB,Australia,Lead,3049.26
L002320,2025-11-15,CAM0236,CH07,SMB,Australia,Lead,976.21
L002321,2025-10-14,CAM0280,CH01,Enterprise,Germany,Lead,1435.61
L002322,2025-07-19,CAM0300,CH01,SMB,Singapore,SQL,3028.32
L002323,2024-06-09,CAM0028,CH01,Mid-Market,Singapore,Lead,3425.7
L002324,2024-06-20,CAM0127,CH07,Mid-Market,UK,Lead,1637.29
L002325,2026-01-19,CAM0144,CH02,Enterprise,Germany,Lead,1124.41
L002326,2026-03-30,CAM0245,CH05,SMB,UK,Lead,1411.38
L002327,2024-08-31,CAM0066,CH04,Mid-Market,Singapore,SQL,2802.18
L002328,2024-09-24,CAM0161,CH05,Enterprise,US,SQL,60.87
L002329,2025-04-18,CAM0024,CH04,Enterprise,UK,Opportunity,2532.25
L002330,2024-10-18,CAM0211,CH01,SMB,UK,Lead,712.81
L002331,2025-05-03,CAM0149,CH01,Enterprise,Australia,SQL,2607.15
L002332,2024-02-20,CAM0070,CH02,Enterprise,UK,Opportunity,2203.71
L002333,2026-06-25,CAM0200,CH07,SMB,UK,SQL,2029.12
L002334,2025-06-01,CAM0006,CH04,SMB,UK,SQL,2826.14
L002335,2025-09-08,CAM0121,CH02,SMB,Australia,Lead,812.58
L002336,2025-03-31,CAM0016,CH02,Mid-Market,Singapore,MQL,2239.61
L002337,2026-02-15,CAM0187,CH03,Enterprise,UK,SQL,2458.16
L002338,2024-08-29,CAM0020,CH02,Enterprise,US,SQL,1467.91
L002339,2025-02-13,CAM0300,CH01,Enterprise,US,Lead,2620.12
L002340,2024-05-02,CAM0277,CH06,Enterprise,Germany,SQL,944.58
L002341,2024-09-07,CAM0160,CH04,SMB,UK,Lead,1649.46
L002342,2024-04-25,CAM0087,CH05,Enterprise,Germany,SQL,2027.92
L002343,2026-07-15,CAM0299,CH02,Mid-Market,US,Opportunity,1457.07
L002344,2026-08-10,CAM0114,CH05,Mid-Market,UK,SQL,2593.11
L002345,2024-05-14,CAM0283,CH06,Enterprise,Australia,Customer,233.3
L002346,2024-01-02,CAM0145,CH07,Enterprise,Germany,Customer,1705.69
L002347,2026-08-27,CAM0197,CH04,Mid-Market,Germany,Customer,2285.95
L002348,2024-05-21,CAM0093,CH07,SMB,US,Lead,2308.4
L002349,2025-06-04,CAM0146,CH01,SMB,Germany,Lead,2803.17
L002350,2026-06-30,CAM0254,CH01,Mid-Market,US,MQL,2149.04
L002351,2026-07-13,CAM0002,CH06,SMB,Singapore,Customer,1064.99
L002352,2026-02-25,CAM0195,CH04,Enterprise,Singapore,Opportunity,1597.42
L002353,2026-05-16,CAM0070,CH02,SMB,UK,Customer,1522.48
L002354,2025-06-11,CAM0027,CH01,Enterprise,Singapore,SQL,1186.35
L002355,2026-07-10,CAM0036,CH02,Mid-Market,UK,Lead,2282.56
L002356,2025-12-05,CAM0274,CH01,Enterprise,Germany,MQL,2107.37
L002357,2024-04-21,CAM0252,CH07,Enterprise,Germany,SQL,3377.06
L002358,2024-07-15,CAM0083,CH05,SMB,Singapore,Lead,1922.57
L002359,2025-05-18,CAM0162,CH07,SMB,Australia,Lead,1197.57
L002360,2026-05-12,CAM0154,CH03,Enterprise,Singapore,SQL,1874.18
L002361,2025-09-10,CAM0285,CH06,Enterprise,US,MQL,144.23
L002362,2024-12-23,CAM0126,CH04,Enterprise,UK,Lead,3408.29
L002363,2024-08-26,CAM0040,CH02,Mid-Market,Australia,Customer,1476.07
L002364,2025-08-23,CAM0085,CH01,Enterprise,US,MQL,1126.51
L002365,2025-10-10,CAM0242,CH02,SMB,Singapore,Lead,2608.73
L002366,2026-07-22,CAM0065,CH05,Enterprise,Australia,Lead,2300.76
L002367,2026-03-11,CAM0129,CH01,Mid-Market,US,Opportunity,3045.97
L002368,2024-06-23,CAM0042,CH02,SMB,US,Opportunity,2645.83
L002369,2024-03-01,CAM0056,CH07,Enterprise,UK,SQL,274.42
L002370,2025-03-10,CAM0103,CH06,Enterprise,UK,Customer,1271.84
L002371,2026-08-24,CAM0162,CH07,SMB,Singapore,MQL,2254.04
L002372,2025-07-12,CAM0066,CH04,Mid-Market,UK,Lead,1730.12
L002373,2026-07-09,CAM0174,CH02,Mid-Market,Germany,Lead,361.99
L002374,2024-05-07,CAM0119,CH03,Enterprise,Germany,Lead,1079.92
L002375,2026-07-01,CAM0012,CH07,Enterprise,Germany,MQL,3503.2
L002376,2026-02-18,CAM0179,CH02,Mid-Market,Germany,Lead,1075.61
L002377,2025-02-06,CAM0229,CH02,Mid-Market,UK,MQL,3226.0
L002378,2026-07-06,CAM0223,CH05,Mid-Market,Australia,Opportunity,562.64
L002379,2024-10-28,CAM0174,CH02,Enterprise,US,SQL,394.1
L002380,2025-06-03,CAM0122,CH02,Mid-Market,US,Customer,1391.75
L002381,2026-02-02,CAM0081,CH02,Mid-Market,Singapore,Lead,1338.46
L002382,2024-02-23,CAM0278,CH06,Mid-Market,Australia,Customer,3759.27
L002383,2024-06-28,CAM0237,CH01,Mid-Market,Australia,Lead,1443.44
L002384,2024-09-14,CAM0051,CH03,SMB,Germany,Customer,1994.27
L002385,2025-12-30,CAM0287,CH05,SMB,Germany,Opportunity,1254.55
L002386,2024-08-25,CAM0073,CH05,Mid-Market,Germany,MQL,3386.87
L002387,2025-02-26,CAM0086,CH07,Enterprise,Australia,MQL,2374.69
L002388,2025-03-14,CAM0158,CH05,Mid-Market,Australia,MQL,2375.32
L002389,2026-07-19,CAM0009,CH02,SMB,US,MQL,3550.04
L002390,2026-06-26,CAM0031,CH03,Enterprise,Singapore,SQL,2292.05
L002391,2024-10-14,CAM0276,CH01,Enterprise,US,Opportunity,3206.1
L002392,2025-07-12,CAM0008,CH02,Mid-Market,UK,MQL,2686.19
L002393,2024-08-05,CAM0068,CH06,Mid-Market,Germany,MQL,1995.04
L002394,2026-06-04,CAM0016,CH02,Enterprise,UK,Customer,1603.68
L002395,2026-03-15,CAM0053,CH04,Mid-Market,Germany,Customer,2096.36
L002396,2026-04-05,CAM0271,CH02,Enterprise,UK,MQL,1599.03
L002397,2024-08-24,CAM0063,CH04,SMB,UK,Customer,2636.97
L002398,2024-03-05,CAM0105,CH02,Enterprise,Australia,SQL,1412.81
L002399,2024-08-04,CAM0217,CH06,SMB,Germany,MQL,2007.82
L002400,2024-06-03,CAM0148,CH04,SMB,Germany,Lead,1615.1
L002401,2024-11-24,CAM0135,CH07,Mid-Market,Germany,SQL,3290.17
L002402,2024-01-08,CAM0289,CH03,Mid-Market,Australia,Lead,2455.96
L002403,2025-02-18,CAM0121,CH02,SMB,US,SQL,383.75
L002404,2025-03-28,CAM0083,CH05,Mid-Market,US,Opportunity,4139.33
L002405,2024-01-08,CAM0199,CH04,Mid-Market,Australia,MQL,513.88
L002406,2025-04-11,CAM0258,CH05,Mid-Market,US,Lead,4080.29
L002407,2024-04-06,CAM0258,CH05,Mid-Market,UK,Lead,2144.06
L002408,2026-05-25,CAM0167,CH05,Enterprise,Germany,Customer,3745.06
L002409,2026-01-01,CAM0107,CH01,Enterprise,UK,Lead,277.29
L002410,2024-05-17,CAM0138,CH06,SMB,US,Lead,2468.58
L002411,2024-12-09,CAM0260,CH03,Enterprise,Germany,Lead,2574.44
L002412,2024-05-30,CAM0072,CH04,SMB,US,MQL,3761.86
L002413,2024-03-10,CAM0044,CH06,Mid-Market,Germany,Lead,3952.61
L002414,2025-08-11,CAM0143,CH01,Enterprise,Singapore,Lead,843.47
L002415,2026-01-21,CAM0164,CH03,Mid-Market,US,Lead,1140.08
L002416,2026-03-08,CAM0296,CH03,Enterprise,Singapore,Lead,969.55
L002417,2026-02-17,CAM0143,CH01,Enterprise,Singapore,SQL,1310.03
L002418,2024-06-06,CAM0273,CH05,Enterprise,Germany,MQL,260.09
L002419,2025-10-24,CAM0152,CH03,Mid-Market,UK,SQL,703.39
L002420,2025-05-30,CAM0081,CH02,SMB,UK,SQL,2647.93
L002421,2024-06-18,CAM0208,CH06,Mid-Market,UK,Lead,88.44
L002422,2026-08-27,CAM0243,CH04,SMB,Australia,Customer,343.88
L002423,2024-12-14,CAM0143,CH01,SMB,UK,Lead,3912.76
L002424,2026-06-28,CAM0020,CH02,Enterprise,Australia,Customer,1268.65
L002425,2025-03-23,CAM0144,CH02,Enterprise,Singapore,Lead,3924.79
L002426,2024-10-21,CAM0140,CH07,Enterprise,Germany,Lead,87.37
L002427,2024-03-19,CAM0100,CH04,Mid-Market,UK,Opportunity,21.11
L002428,2025-02-21,CAM0020,CH02,SMB,Australia,Lead,3274.7
L002429,2024-07-17,CAM0080,CH07,Enterprise,Germany,MQL,566.71
L002430,2026-02-16,CAM0060,CH05,Enterprise,Australia,Lead,902.77
L002431,2024-08-22,CAM0015,CH06,SMB,UK,MQL,2087.6
L002432,2024-08-20,CAM0158,CH05,SMB,Singapore,SQL,1859.93
L002433,2024-05-05,CAM0107,CH01,Mid-Market,Singapore,Lead,3469.52
L002434,2025-03-15,CAM0162,CH07,SMB,Australia,SQL,4023.16
L002435,2024-07-23,CAM0003,CH07,Mid-Market,Singapore,Lead,1629.58
L002436,2025-03-05,CAM0245,CH05,SMB,Australia,MQL,2388.36
L002437,2026-07-25,CAM0036,CH02,SMB,Germany,SQL,2557.96
L002438,2024-07-11,CAM0188,CH01,Enterprise,Australia,SQL,2919.58
L002439,2026-06-16,CAM0221,CH01,SMB,US,SQL,1979.46
L002440,2025-05-07,CAM0101,CH06,Mid-Market,UK,Customer,2337.13
L002441,2024-01-12,CAM0143,CH01,Enterprise,Australia,Lead,1008.21
L002442,2024-10-31,CAM0027,CH01,Mid-Market,US,Lead,1612.68
L002443,2024-12-04,CAM0100,CH04,Enterprise,Germany,SQL,2834.86
L002444,2025-04-12,CAM0202,CH04,SMB,Singapore,Lead,1324.0
L002445,2026-04-16,CAM0182,CH04,Enterprise,US,Lead,3709.64
L002446,2024-11-02,CAM0062,CH03,Mid-Market,Australia,Lead,2485.96
L002447,2026-01-20,CAM0158,CH05,SMB,UK,SQL,1369.7
L002448,2024-11-23,CAM0251,CH06,Mid-Market,Germany,Opportunity,20.29
L002449,2026-07-17,CAM0285,CH06,Mid-Market,US,MQL,1496.43
L002450,2025-08-13,CAM0051,CH03,SMB,Australia,SQL,3402.36
L002451,2025-12-01,CAM0235,CH02,Mid-Market,Germany,Lead,1858.19
L002452,2026-01-04,CAM0048,CH06,Enterprise,Singapore,MQL,2260.52
L002453,2026-08-19,CAM0008,CH02,Mid-Market,UK,MQL,2944.11
L002454,2026-07-18,CAM0011,CH01,Mid-Market,UK,MQL,2387.28
L002455,2024-07-17,CAM0030,CH06,SMB,Australia,SQL,1644.8
L002456,2025-11-24,CAM0067,CH07,SMB,Australia,Opportunity,2480.55
L002457,2024-11-12,CAM0025,CH03,SMB,UK,Opportunity,1474.5
L002458,2024-06-02,CAM0143,CH01,Enterprise,Germany,SQL,2446.53
L002459,2026-02-28,CAM0145,CH07,SMB,UK,Lead,4003.33
L002460,2024-10-11,CAM0163,CH01,SMB,US,SQL,1817.98
L002461,2025-02-02,CAM0011,CH01,Enterprise,Singapore,Opportunity,812.77
L002462,2024-10-23,CAM0085,CH01,SMB,US,Lead,1053.6
L002463,2024-10-04,CAM0272,CH06,Enterprise,Singapore,MQL,2004.28
L002464,2025-08-02,CAM0284,CH04,Mid-Market,Australia,SQL,2188.71
L002465,2026-02-11,CAM0029,CH03,SMB,UK,Customer,2068.18
L002466,2025-11-03,CAM0045,CH06,SMB,UK,Opportunity,1809.94
L002467,2024-07-28,CAM0126,CH04,Enterprise,Australia,Lead,799.87
L002468,2025-12-28,CAM0213,CH01,SMB,US,MQL,838.8
L002469,2025-04-24,CAM0156,CH07,Enterprise,Singapore,MQL,112.06
L002470,2024-10-14,CAM0025,CH03,SMB,Australia,MQL,919.85
L002471,2025-12-31,CAM0098,CH07,Mid-Market,UK,SQL,2083.35
L002472,2025-04-26,CAM0084,CH07,Mid-Market,Australia,Lead,3363.58
L002473,2024-04-13,CAM0133,CH06,Mid-Market,US,Lead,2593.91
L002474,2026-04-30,CAM0168,CH02,Enterprise,Germany,Lead,1646.1
L002475,2024-06-26,CAM0045,CH06,SMB,Australia,Opportunity,1888.12
L002476,2024-01-17,CAM0034,CH01,Enterprise,Australia,MQL,2266.39
L002477,2026-08-09,CAM0280,CH01,Enterprise,US,Lead,1135.64
L002478,2026-03-01,CAM0223,CH05,Mid-Market,Germany,SQL,6.31
L002479,2024-01-05,CAM0182,CH04,Enterprise,US,Lead,2693.99
L002480,2024-04-15,CAM0127,CH07,SMB,US,Opportunity,3419.84
L002481,2025-05-09,CAM0280,CH01,Enterprise,Australia,MQL,1815.85
L002482,2026-05-08,CAM0243,CH04,Enterprise,Australia,SQL,251.48
L002483,2025-03-25,CAM0076,CH04,Enterprise,US,Lead,1669.48
L002484,2025-11-20,CAM0014,CH01,SMB,US,Opportunity,430.26
L002485,2025-03-02,CAM0189,CH03,SMB,Germany,Lead,880.13
L002486,2025-01-15,CAM0073,CH05,Mid-Market,US,SQL,2489.37
L002487,2024-06-03,CAM0263,CH04,SMB,US,Lead,3817.61
L002488,2026-03-19,CAM0056,CH07,SMB,Australia,Lead,868.99
L002489,2024-11-13,CAM0213,CH01,Enterprise,Singapore,Opportunity,1933.69
L002490,2026-02-15,CAM0139,CH06,Mid-Market,Germany,Opportunity,755.17
L002491,2024-07-12,CAM0056,CH07,Enterprise,Australia,MQL,1049.44
L002492,2024-10-28,CAM0281,CH05,Mid-Market,UK,SQL,772.39
L002493,2025-04-28,CAM0007,CH02,Mid-Market,Germany,Opportunity,1701.96
L002494,2025-04-10,CAM0268,CH02,SMB,Germany,Opportunity,1376.78
L002495,2025-09-22,CAM0168,CH02,Enterprise,Australia,MQL,3195.5
L002496,2024-09-17,CAM0278,CH06,Enterprise,Australia,Lead,1687.1
L002497,2026-01-02,CAM0022,CH04,SMB,US,MQL,2008.91
L002498,2024-02-12,CAM0089,CH01,Enterprise,Singapore,Lead,2354.58
L002499,2026-08-19,CAM0276,CH01,Enterprise,Singapore,MQL,3024.02
L002500,2024-12-28,CAM0060,CH05,Enterprise,Australia,Lead,2235.88
L002501,2025-04-02,CAM0182,CH04,Enterprise,Australia,Lead,2157.27
L002502,2024-10-21,CAM0268,CH02,Enterprise,Germany,Lead,930.09
L002503,2026-08-19,CAM0016,CH02,Enterprise,UK,Opportunity,1712.52
L002504,2024-08-21,CAM0010,CH04,Mid-Market,Singapore,Opportunity,1866.52
L002505,2025-08-01,CAM0254,CH01,SMB,UK,Lead,120.74
L002506,2026-04-21,CAM0087,CH05,SMB,Australia,Lead,4151.36
L002507,2026-05-02,CAM0176,CH05,SMB,UK,Lead,832.94
L002508,2024-01-17,CAM0162,CH07,SMB,Singapore,Opportunity,2296.38
L002509,2025-02-03,CAM0127,CH07,SMB,US,Lead,1973.03
L002510,2024-10-13,CAM0141,CH03,SMB,UK,Lead,1956.06
L002511,2025-07-30,CAM0044,CH06,SMB,Singapore,SQL,2072.2
L002512,2025-05-06,CAM0116,CH02,SMB,US,MQL,2984.61
L002513,2025-03-22,CAM0166,CH02,Mid-Market,Germany,Opportunity,3357.19
L002514,2024-12-12,CAM0023,CH02,Enterprise,US,SQL,3209.84
L002515,2026-07-21,CAM0164,CH03,Mid-Market,Singapore,MQL,1053.03
L002516,2026-04-10,CAM0108,CH01,Mid-Market,Singapore,SQL,587.3
L002517,2025-11-09,CAM0221,CH01,SMB,Singapore,Lead,621.07
L002518,2026-03-11,CAM0057,CH04,Enterprise,Germany,Opportunity,2254.37
L002519,2024-01-30,CAM0076,CH04,Mid-Market,US,Opportunity,2138.59
L002520,2024-04-29,CAM0041,CH04,Mid-Market,US,MQL,2448.01
L002521,2024-09-05,CAM0173,CH06,SMB,Germany,Lead,909.71
L002522,2025-03-17,CAM0177,CH07,Enterprise,Singapore,Lead,160.32
L002523,2026-07-24,CAM0095,CH07,SMB,Australia,SQL,2760.53
L002524,2024-10-05,CAM0015,CH06,Enterprise,Singapore,SQL,2076.26
L002525,2025-07-07,CAM0050,CH04,SMB,UK,Lead,2462.04
L002526,2025-01-24,CAM0293,CH05,Mid-Market,Singapore,MQL,3324.77
L002527,2025-10-10,CAM0291,CH02,SMB,Germany,MQL,390.61
L002528,2024-07-23,CAM0163,CH01,SMB,Singapore,Opportunity,1448.79
L002529,2025-04-17,CAM0045,CH06,Enterprise,UK,Lead,3609.59
L002530,2024-09-17,CAM0145,CH07,Mid-Market,UK,Customer,39.48
L002531,2025-11-14,CAM0097,CH06,Enterprise,Singapore,MQL,1691.83
L002532,2025-08-21,CAM0016,CH02,Mid-Market,Germany,MQL,1832.51
L002533,2024-12-25,CAM0260,CH03,SMB,UK,SQL,992.98
L002534,2024-09-10,CAM0199,CH04,Enterprise,US,MQL,111.83
L002535,2025-09-08,CAM0049,CH02,SMB,UK,Lead,2950.83
L002536,2025-11-19,CAM0085,CH01,Mid-Market,Singapore,SQL,2011.34
L002537,2024-02-03,CAM0083,CH05,Enterprise,UK,Lead,915.47
L002538,2025-10-14,CAM0258,CH05,SMB,Singapore,Lead,2827.03
L002539,2025-02-09,CAM0006,CH04,Mid-Market,Australia,Lead,4503.52
L002540,2025-12-19,CAM0283,CH06,SMB,Australia,Lead,888.49
L002541,2026-08-27,CAM0152,CH03,SMB,Australia,MQL,954.81
L002542,2024-09-28,CAM0171,CH03,SMB,Singapore,MQL,1128.39
L002543,2025-11-08,CAM0054,CH01,Enterprise,Singapore,SQL,845.58
L002544,2024-11-01,CAM0066,CH04,Mid-Market,US,Lead,866.7
L002545,2025-04-16,CAM0099,CH05,SMB,Germany,MQL,1805.58
L002546,2025-11-03,CAM0086,CH07,SMB,US,Lead,1604.95
L002547,2024-12-27,CAM0020,CH02,Mid-Market,Australia,Lead,3670.25
L002548,2026-05-27,CAM0191,CH02,SMB,Singapore,Opportunity,1830.74
L002549,2024-09-17,CAM0223,CH05,SMB,Singapore,Lead,1792.64
L002550,2025-02-06,CAM0171,CH03,Enterprise,US,Opportunity,1679.23
L002551,2024-07-07,CAM0265,CH02,SMB,Germany,Customer,1132.11
L002552,2024-04-11,CAM0165,CH07,Enterprise,UK,Customer,2180.47
L002553,2024-03-28,CAM0103,CH06,Mid-Market,Germany,Lead,388.29
L002554,2025-09-23,CAM0102,CH01,Enterprise,UK,MQL,2499.95
L002555,2024-11-09,CAM0015,CH06,Mid-Market,US,Customer,3071.51
L002556,2025-09-07,CAM0193,CH06,Mid-Market,UK,Opportunity,2162.46
L002557,2025-08-11,CAM0228,CH02,Mid-Market,US,Lead,3114.93
L002558,2024-12-10,CAM0280,CH01,SMB,Germany,Lead,948.82
L002559,2026-07-15,CAM0026,CH03,Enterprise,UK,Opportunity,2289.94
L002560,2025-06-18,CAM0030,CH06,Mid-Market,US,Opportunity,2494.56
L002561,2025-08-19,CAM0018,CH01,SMB,Singapore,Lead,994.26
L002562,2024-10-13,CAM0097,CH06,Mid-Market,Singapore,MQL,1136.88
L002563,2025-06-22,CAM0162,CH07,Mid-Market,Germany,Lead,3196.68
L002564,2024-03-25,CAM0263,CH04,SMB,US,SQL,1139.05
L002565,2026-01-21,CAM0272,CH06,SMB,Singapore,Lead,438.06
L002566,2025-06-19,CAM0236,CH07,Mid-Market,Australia,Lead,2090.42
L002567,2025-01-15,CAM0094,CH01,Enterprise,UK,Lead,1098.2
L002568,2024-02-02,CAM0295,CH06,SMB,Singapore,SQL,1417.25
L002569,2025-05-25,CAM0036,CH02,Enterprise,Australia,Lead,3197.52
L002570,2024-05-28,CAM0061,CH01,Enterprise,UK,Opportunity,1718.29
L002571,2026-07-05,CAM0019,CH02,Enterprise,Australia,MQL,1230.95
L002572,2026-08-25,CAM0226,CH03,Enterprise,Germany,Lead,1715.88
L002573,2026-03-27,CAM0204,CH06,SMB,UK,MQL,1791.5
L002574,2024-06-11,CAM0136,CH07,Mid-Market,Germany,SQL,2780.98
L002575,2025-08-28,CAM0027,CH01,Mid-Market,Germany,Opportunity,1437.01
L002576,2024-11-19,CAM0044,CH06,SMB,UK,Lead,152.81
L002577,2024-09-05,CAM0111,CH05,SMB,Germany,MQL,2245.2
L002578,2024-03-25,CAM0080,CH07,Enterprise,Germany,MQL,1203.94
L002579,2025-05-23,CAM0277,CH06,SMB,Germany,MQL,1399.88
L002580,2025-11-12,CAM0137,CH02,Mid-Market,US,Lead,2432.17
L002581,2024-02-24,CAM0077,CH02,SMB,UK,Lead,135.1
L002582,2025-04-11,CAM0048,CH06,SMB,Germany,Lead,1052.58
L002583,2026-07-20,CAM0041,CH04,SMB,Australia,MQL,740.94
L002584,2025-12-23,CAM0220,CH03,Mid-Market,UK,Opportunity,2233.32
L002585,2024-11-21,CAM0086,CH07,SMB,Australia,Lead,642.78
L002586,2024-09-06,CAM0104,CH06,Mid-Market,Australia,Lead,1470.74
L002587,2024-09-06,CAM0281,CH05,Mid-Market,Germany,Lead,1199.5
L002588,2024-07-17,CAM0107,CH01,Mid-Market,Germany,Opportunity,597.17
L002589,2024-09-21,CAM0231,CH05,SMB,Australia,Opportunity,2753.86
L002590,2024-01-30,CAM0197,CH04,Mid-Market,Australia,Opportunity,3020.2
L002591,2025-10-31,CAM0173,CH06,SMB,Singapore,MQL,479.92
L002592,2024-05-07,CAM0091,CH06,Enterprise,Singapore,Lead,2768.74
L002593,2025-03-15,CAM0255,CH03,Mid-Market,Germany,Lead,1672.75
L002594,2024-03-24,CAM0034,CH01,Enterprise,Singapore,SQL,1758.4
L002595,2025-12-07,CAM0100,CH04,Enterprise,Singapore,MQL,647.31
L002596,2025-03-22,CAM0139,CH06,Mid-Market,Germany,MQL,2059.95
L002597,2024-02-04,CAM0284,CH04,SMB,Australia,Lead,749.3
L002598,2024-10-16,CAM0244,CH03,Enterprise,US,Customer,987.75
L002599,2025-08-28,CAM0292,CH02,Enterprise,Australia,Customer,2916.34
L002600,2024-10-19,CAM0241,CH01,Mid-Market,UK,MQL,942.22
L002601,2025-09-20,CAM0051,CH03,Mid-Market,Germany,MQL,4302.73
L002602,2026-08-12,CAM0050,CH04,SMB,Germany,MQL,2652.26
L002603,2024-05-25,CAM0028,CH01,SMB,Australia,MQL,2412.41
L002604,2024-10-02,CAM0004,CH07,SMB,Australia,Lead,3009.4
L002605,2024-01-03,CAM0120,CH06,Enterprise,Singapore,Customer,2382.08
L002606,2026-08-14,CAM0161,CH05,SMB,Germany,Opportunity,2055.05
L002607,2024-01-06,CAM0115,CH06,SMB,UK,Lead,1717.56
L002608,2024-05-15,CAM0114,CH05,Enterprise,UK,SQL,1362.78
L002609,2024-08-21,CAM0245,CH05,SMB,UK,Opportunity,1243.58
L002610,2026-05-12,CAM0287,CH05,SMB,Singapore,Lead,1932.72
L002611,2025-09-08,CAM0163,CH01,SMB,US,SQL,2781.24
L002612,2026-07-23,CAM0127,CH07,SMB,Singapore,Opportunity,2403.34
L002613,2026-05-09,CAM0268,CH02,SMB,US,Opportunity,1091.5
L002614,2024-07-04,CAM0026,CH03,Enterprise,Germany,Customer,1511.75
L002615,2024-01-16,CAM0051,CH03,Enterprise,Singapore,Lead,2586.64
